Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T40,6/15/15,13.157848,39.240549,13.160571,39.231322,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
0.1,ls,gr,,,,,,249.5,,249.7,172,6.363,0.078,-7.163,0.182,mts,,,,,,,,,
0.05,ml,ml,,,,,,249.8,,250,174,6.535,0.051,-12.007,0.203,mtx,,,,,,,,,
0.05,ls,gr,,,,,,249.8,,250,174,6.446,0.087,-6.042,0.146,mts,,,,,,,,,
0.3,cover,cover,,,,,,251.8,,252,176,6.611,0.096,-9.597,0.236,mtx,,,,,,,,,
0.2,ls,ri,,,,,,252.8,,253,178,6.909,0.088,-11.731,0.173,mtx,,,,,,,,,
0.4,cover,cover,,,,,,256,,256.2,180,6.51,0.083,-8.76,0.295,mtx,,,,,,,,,
0.2,ls,ri,,,,,,257.5,,257.7,180,6.749,0.071,-9.282,0.15,mtx,,,,,,,,,
0.2,si,sts,,,,,,260.4,,260.6,180,6.658,0.106,-7.648,0.374,mtx,,,,,,,,,
0.1,ls,gr,,,,,,262.1,SUB 0.1,262.2,181,6.457,0.075,-8.115,0.309,mtx,0.706654371,3.044118152,488966.9717,10.91409982,2901.002473,39.52334829,387.2579238,-2.826739827,1316.397948
1.5,cover,cover,,,,,,262.1,,262.2,181,6.384,0.067,-3.209,0.123,mts,0.706642807,-224.1117722,461389.654,6.350599243,729.3668012,19.19391126,130.0108161,2.846578168,593.4913472
0.2,ls,ri,,,,,,262.5,,262.6,181,6.134,0.094,-7.387,0.18,mtx,,,,,,,,,
0.8,cover,cover,,,,,,262.5,,262.6,181,5.077,0.053,-6.021,0.237,mts,,,,,,,,,
0.1,ls,ri,,,,,,264.8,,264.9,181,6.362,0.055,-7.405,0.141,mtx,,,,,,,,,
0.8,cover,cover,,,,,,264.8,,264.9,181,6.511,0.136,-5.754,0.742,mts,,,,,,,,,
0.6,si,sts,,,,,,265.8,,265.9,181,6.685,0.08,-6.962,0.093,mtx,,,,,,,,,
0.05,ls,gr,,,,,,265.8,,265.9,181,6.423,0.066,-4.612,0.165,mts,,,,,,,,,
0.25,si,sts,,,,,,267,,267.1,181,4.409,0.042,-8.111,0.11,mtx,,,,,,,,,
0.2,ls,ri,,,,,,267,,267.1,181,3.814,0.093,-10.99,0.283,mts,,,,,,,,,
3.3,cover,cover,,,,,,269.2,,269.3,181,4.344,0.046,-5.717,0.27,mtx,,,,,,,,,
0.3,ls,ri,,,,,,270.5,,270.6,181,4.661,0.076,-9.559,0.241,mtx,,,,,,,,,
2.2,ls,ri-sts,,,,,,270.5,,270.6,181,5.899,0.022,-6.983,0.166,mts,,,,,,,,,
