Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,
T56,7/18/15,13.85136,39.614409,13.851389,39.617206,WGS84,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_mts_mtx
0.4,ls,ri,,,,,,,,,,
1.7,si,sts,,,,,,,,,,
1.8,cover,cover,,,,,,,,,,
1.1,si,sts,,,,,,,,,,
6,cover,cover,,,,,,,,,,
4.6,si,sts,,,,,,,,,,
1.4,cover,cover,,,,,,,,,,
1.6,si,sts,,,,,,,,,,
0.4,ml,ml,,,,,,,,,,
1.4,si,sts,,,,,,,,,,
1,ml,ml,,,,,,,,,,
1.6,si,sts,,,,,,,,,,
1.3,cover,cover,,,,,,,,,,
0.7,si,sts,,,,,,,,,,
0.6,cover,cover,,,,,,,,,,
3.3,si,sts,,,,,,,,,,
0.4,ml,ml,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,
0.3,si,sts,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
0.6,si,sts,,,,,,,,,,
11.6,cover,cover,,,,,,,,,,
0.7,ls,ri,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,
3.3,ls,ri,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
1.2,ls,ri,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,
3.1,si,sts,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,
1.6,ls,gr-ri,,,,,,,,,,
3.7,ls,gr,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,
1.8,ls,gr,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,
1,ls,ri-gr,,,,,,,,,,
1.2,ls,gr,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
1.2,ls,gr-ri,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,
4.7,ls,gr-ri,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,
8.2,ls,gr-ri,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,
5,si,sts,,,,,,,,,,
12,ls,gr-sts,,,,,,,,,,
2.7,si,sts-ri,,,,,,,,,,
5.1,ls,gr-sts,,,,,,,,,,
2.6,ls,ri-sts,,,,,,,,,,
19.7,si,sts,,,,,,,,,,
3,cover,cover,,,,,,,,,,
7.4,si,sts,,,,,,,,,,
0.4,dl,gr,,,,,,,,,,
0.6,cover,cover,,,,,,,,,,
4.2,si,sts,,,,,,,,,,
0.8,ls,gr,mts,,,,,,,,,
0.8,cover,cover,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,
1.1,ls,gr-sts,,,,,,,,,,
24.1,si,sts-gr,,,,,,,,,,
5.5,cover,cover,,,,,,,,,,
1.7,si,sts,,,,,,,,,,
4.8,cover,cover,,,,,,,,,,
1.5,si,sts,,,,,,,,,,
3.2,cover,cover,,,,,,,,,,
4.8,dl,gr,,,,,,,,,,
15.1,cover,cover,,,,,,,,,,
9.6,si,fss,,,,,,,,,,
4.8,si,mss,,,,,,,,,,
7.8,cover,cover,,,,,,,,,,
17.5,si,di2,,,,,,,,,,
