Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T23,7/13/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
0.9,dl,R,dxb,,554.8,,554.8,227,4.43,-3.28,mtx
1.4,si,shl-R,,,557.5,,557.5,232,6.22,-2.83,mtx
2.8,cover,cover,,,559.2,,559.2,233.5,5.89,-3.28,mtx
1.5,dl ,R,,,561.6,,561.6,235,6.03,-3.77,mtx
0.1,si,shl,,,563.6,,563.6,236.5,3.96,-4.43,mtx
0.8,cover,cover,,,569.1,,569.1,243,6.08,-6.85,mtx
0.4,dl,R,,,572,,572,249,4.47,-7.01,mtx
0.5,cover,cover,,,574,,574,251,5.8,-7.37,mtx
1,dl,ri,,,576.6,,576.6,255,5.43,-3.52,mtx
0.8,si,shl,,,579.1,,579.1,257,4.29,-4.05,mtx
1.1,dl,R,,,580.6,,580.6,257.5,5.79,-2.79,mtx
0.1,si,shl,,,583,,583,259,6.95,-3.88,mtx
1.4,dl,R,,,584.4,,584.4,260,5.53,-5.1,mtx
1,si,shl,,,586.4,,586.4,261,6.22,-4.35,mtx
0.9,dl,R,,,586.9,,586.9,263,5.81,-2.81,mtx
1.3,cover,cover,,,589,,589,264.5,4.94,-3.07,mtx
1.2,dl,R,,,592,,592,272,4.87,-2.88,mtx
0.6,cover,cover,,,593.9,,593.9,275,5.45,-3.45,mtx
0.5,dl,R,,,596,,596,276,4.56,-3.84,mtx
15.4,cover,cover,,,600.1,,600.1,279,5.39,-2.15,mtx
10.7,si,shl,,,601.3,,601.3,281,4.75,-2.6,mtx
0.8,dl,ri,,,603.1,,603.1,281,4.78,-3.05,mtx
0.7,cover,cover,,,605.2,,605.2,283,4.44,-3.83,mtx
1.4,si,shl,,,607.9,,607.9,284.5,6.22,-4.35,mtx
7.1,cover,cover,,,609,,609,286,6.04,-2.83,mtx
3.4,dl,R,,,611.6,,611.6,288,5.03,-2.23,mtx
7.7,cover,cover,,,614.9,,614.9,292,5.39,-4.52,mtx
0.4,dl,R,,,616.3,,616.3,295,4.12,-3.13,mtx
0.5,si,shl,,,616.6,,616.6,296,4.1,-4.77,mtx
0.5,dl,R,,,620,,620,298,5.81,-4.72,mtx
5.6,cover,cover,,,622.9,,622.9,304,5.21,-1.95,mtx
13.1,si,shl,,,625.5,,625.5,308,5.69,-5.27,mtx
0.3,dl,R,,,626.7,,626.7,310,4.71,-2.8,mtx
7.7,cover,cover,,,629.4,,629.4,315,4.96,-2.48,mtx
0.2,dl,R,,,631.7,,631.7,318,5.8,-5.1,mtx
1.9,dl,R-shl,,,634.5,,634.5,322.5,,,
2.5,cover,cover,,,635.3,,635.3,323,6.08,-3.93,mtx
0.4,dl,R,,,637.4,,637.4,326,5.29,-4.61,mtx
2.7,cover,cover,,,638.7,,638.7,329,6.27,-5.29,mtx
0.7,dl,R,,,641.3,,641.3,336,5.49,-2.34,mtx
0.7,dl,R,,,643.4,,643.4,340,6.1,-2.61,mtx
9,cover,cover,,,645.2,,645.2,343,5.99,-2.43,mtx
0.5,dl,R,,,647.8,,647.8,347,4.48,-3.46,mtx
1.1,dl,R,,,653.4,,653.4,353,5.12,-3,mtx
1,cover,cover,,,656.8,,656.8,357,5.11,-2.9,mtx
0.4,dl,R,,,658.8,,658.8,360.5,6.21,-4.89,mtx
