Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T27,1/18/13,,,,,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
0.9,dl,R,,,,,,,,,,,
0.5,dl,ri,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,
1.2,dl,ri,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.2,dl,ri,,,,,,,,,,,
0.5,dl,R,,,,,,,,,,,
0.2,dl,ri,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.1,dl,ri,,,,,,,,,,,
1.1,cover,cover,,,,,,,,,,,
0.7,dl,ri,,,,,,,,,,,
0.9,cover,cover,,,,,,,,,,,
1.9,dl,R,,,,,,,,,,,
1.2,cover,cover,,,,,,,,,,,
1,dl,ri,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,
5.9,cover,cover,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.1,si,shl,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
3,cover,cover,,,,,,,,,,,
0.4,si,shl-ri,,,,,,,,,,,
3.9,cover,cover,,,,,,,,,,,
1,si,shl,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
2.7,cover,cover,,,,,,,,,,,
4,dl,R-shl,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
1.1,si,shl-ri,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,
0.4,si,shl-ri,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.9,si,shl-ri,,,,,,,,,,,
0.6,dl,R,,,,,,,,,,,
0.5,si,shl-ri,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.7,si,shl,,,,,,,,,,,
3.3,si,shl,,,,,,,,,,,
19.6,cover,cover,,,,,,,,,,,
2.3,si,shl,,,,,,,,,,,
1.3,cover,cover,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.8,si,shl-ri,,,,,,,,,,,
2,dl,R,,,,,,,,,,,
1.3,si,shl,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.1,dl,ri,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.6,si,shl,,,,,,,,,,,
1.6,dl,ri,,,,,,,,,,,
2.8,cover,cover,,,,,,,,,,,
1.4,si,shl,,,,,,,,,,,
1.8,cover,cover,,,,,,,,,,,
1.6,si,shl,,,,,,,,,,,
14.2,cover,cover,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,
0.5,cover,cover,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.3,si,shl,,,,,,,,,,,
9.6,cover,cover,,,,,,,,,,,
0.7,dl,R,,,,,,,,,,,
