section/core,section_m,d13C,d18O,d13C_org,d18O_org,TOC,lithology
C227,240.9,8.6,-6.6,,,,limestone
C227,246,7.8,-4.9,,,,limestone
C227,247.3,9,-6.8,,,,limestone
C227,248.2,8.8,-6.7,,,,limestone
C227,249.1,9.2,-6.8,,,,limestone
C227,250.3,9.3,-7.1,,,,limestone
C227,251.5,9,-6.8,,,,limestone
C227,252.5,9.3,-7,,,,limestone
C227,253.8,8.8,-6.2,,,,limestone
C227,256.3,8.7,-6.3,,,,limestone
C227,257.3,9.5,-7.2,,,,limestone
C227,258.4,8.6,-6.1,,,,limestone
C227,259.2,9,-6.7,,,,limestone
C227,260.6,8.2,-5.6,,,,limestone
C227,262.1,8.1,-6.3,-23.1,31.3,0.005,limestone
C227,262.9,9,-6.9,,,,limestone
C227,264.1,7.3,-7,,,,limestone
C227,265.1,5.6,-6.6,,,,limestone
C227,266.1,9.2,-6.4,,,,limestone
C227,267.2,8.3,-5.6,,,,limestone
C227,268.2,7,-6.1,-23.4,30.4,0.011,limestone
C227,269.2,7.1,-6.9,,,,limestone
C227,270.4,7.5,-6.9,,,,limestone
C227,271.3,7.5,-6.8,,,,limestone
C227,272.4,9.5,-6.4,,,,limestone
C227,273.8,8,-5.1,,,,limestone
C227,274.8,7.9,-6.5,,,,limestone
C227,275,8.4,-6.3,,,,limestone
C227,276,9.5,-6.5,-25.9,35.4,0.006,limestone
C227,276.9,9,-6.1,,,,limestone
C227,277.9,8.5,-5,,,,limestone
C227,278.5,9.3,-5,,,,limestone
C227,278.7,9.4,-5.3,,,,limestone
C227,279.8,9,-6.8,,,,limestone
C227,280.9,8.3,-5.6,,,,limestone
C227,281.9,8.5,-5.2,,,,limestone
C227,282.9,8.7,-3.9,,,,limestone
C227,283.9,9.1,-3.2,,,,limestone
C227,285,8.6,-3.2,,,,limestone
C227,289.1,8.4,-3.1,,,,limestone
C227,290.2,8.7,-4,,,,limestone
C227,292.6,8.3,-3.2,,,,limestone
C227,298.2,5.3,-4.4,,,,limestone
C227,299.4,1.3,-6.1,,,,limestone
C227,301.2,8.4,-7.3,,,,limestone
C227,302.2,9,-6.6,-23.5,32.5,0.016,limestone
C227,305.6,8.8,-4.5,,,,limestone
C227,306.6,4.4,-5.6,,,,limestone
C227,307.6,8.6,-4.9,,,,limestone
C227,309,9.1,-4.8,,,,limestone
C227,310.2,9.2,-5,,,,limestone
C227,311.3,9.4,-4.3,,,,limestone
C227,312.4,9.1,-4.9,,,,limestone
C227,313.5,9.1,-4.7,-22.2,31.4,0.012,limestone
C227,314.5,9.2,-5,,,,limestone
C227,315.8,9.5,-5.6,,,,limestone
C227,316.8,9.3,-5.3,,,,limestone
C227,317.9,9.4,-5.9,,,,limestone
C227,318.9,9.2,-5.5,,,,limestone
C227,320.2,6.3,-6.4,,,,limestone
C227,321.2,9.7,-6.3,,,,limestone
C227,323.3,9.6,-6,,,,limestone
C227,324.1,9.7,-6.2,,,,limestone
C227,324.9,9.6,-7.2,,,,limestone
C227,325.6,9.9,-7.8,,,,limestone
C227,326.8,9.6,-8.1,,,,limestone
C227,327.8,8.7,-7.7,,,,limestone
C227,328.8,8.9,-8.6,,,,limestone
C227,330.1,1.3,-11,,,,limestone
C227,331.5,8.3,-8.8,,,,limestone
C227,332.9,8.4,-8.8,-23.6,32,0.016,limestone
C227,334,8.3,-9.5,,,,limestone
C227,335,6.1,-11.5,,,,limestone
C227,396.2,7.7,-11.8,,,,limestone
C227,397,8.3,-10,,,,limestone
C227,398.6,9.4,-9.7,,,,limestone
C227,400,9.4,-9.5,,,,limestone
C227,401,9.8,-9.4,,,,limestone
C227,402,9.8,-9,-21.3,31.1,0.023,limestone
C227,403.4,9.7,-8.8,,,,limestone
C227,405.3,8.9,-7.9,,,,limestone
C227,406.4,9.3,-8.7,,,,limestone
C227,407.4,9,-8.3,,,,limestone
C227,408.3,8.7,-8.9,,,,limestone
C227,409.3,9.3,-8.6,,,,limestone
C227,410.9,8.6,-8.3,,,,limestone
C227,412,8.5,-7.2,-23,31.4,0.014,limestone
C227,413.6,8.6,-6.5,,,,limestone
C227,417.1,9.8,-8.7,,,,limestone
C227,418.1,9.8,-8.1,,,,limestone
C227,419.1,9.5,-7.8,,,,limestone
C227,420.2,,,-25.9,35,0.039,limestone
C227,421.1,9.1,-7.8,,,,limestone
C227,421.9,8.4,-7.9,,,,limestone
C227,422.9,8.8,-8.2,,,,limestone
C227,423.9,8.9,-7.9,,,,limestone
C227,424.4,9.2,-8.4,,,,limestone
C227,425.4,8.1,-8.3,,,,limestone
C227,426.5,8.9,-8,,,,limestone
C227,429.5,9,-8.5,,,,limestone
C227,430.3,7.9,-7.7,,,,limestone
C227,431.7,7.8,-7.3,,,,limestone
C227,432.7,7.2,-8.4,,,,limestone
C227,433.6,6.9,-8.2,,,,limestone
C227,434.7,8.8,-8.6,,,,limestone
C227,435.7,8.7,-8.6,,,,limestone
C227,436.5,8.9,-8.4,,,,limestone
C227,437.6,6.8,-6.3,,,,limestone
C227,438.6,7.7,-7.2,,,,limestone
C227,439.5,8.6,-7.9,,,,limestone
C227,440.3,8.4,-7.6,,,,limestone
C227,440.4,9.7,-8.7,,,,limestone
C227,441.4,8.9,-8.6,-22.5,31.4,0.009,limestone
C227,442.7,9.3,-9.8,,,,limestone
C227,443.7,8.7,-10.3,,,,limestone
C227,444.3,8.8,-9.9,,,,limestone
C227,445.3,9.2,-10.7,,,,limestone
C227,448,6.8,-9.3,,,,limestone
C227,451.9,7.7,-10,,,,limestone
C227,452.9,8.4,-9,,,,limestone
C227,453.9,8.9,-10.3,,,,limestone
C227,454.9,9.2,-9.2,,,,limestone
C227,455.7,6.9,-10.3,,,,limestone
C227,456.6,9.1,-10.2,,,,limestone
C227,458.1,9.1,-9.5,,,,limestone
C227,458.4,8.9,-11,-25.6,34.5,0.008,limestone
C227,459.4,8.1,-10.8,,,,limestone
C227,460.4,8.4,-11.1,,,,limestone
C227,462.3,8.5,-11.4,,,,limestone
C228,463.4,,,-22.7,31.2,0.013,limestone
C227,464,8.5,-11.5,,,,limestone
C227,465,8.7,-11.2,,,,limestone
C227,465.8,8.1,-10.4,,,,limestone
C227,467.2,8.4,-11.6,-25.6,34,0.012,limestone
C227,468.2,8,-11.1,,,,limestone
C227,469.2,8.1,-11.9,,,,limestone
C227,470.2,8,-11.9,,,,limestone
C227,471.3,7.5,-12.1,,,,limestone
C227,472.3,7.9,-11.9,,,,limestone
C227,473.3,6.7,-12.3,,,,limestone
C227,701,8.4,-12.7,,,,limestone
C227,702,8.5,-12.1,-25.5,34,0.035,limestone
C227,703.1,9.2,-12.3,,,,limestone
C227,704.1,-1.1,-8.6,,,,limestone
C227,704.9,5.4,-10.5,,,,limestone
C227,711.5,5.3,-9.8,,,,limestone
C227,712.6,2.3,-9.5,,,,limestone
C227,713.6,-2,-7.7,,,,limestone
C227,714.5,8.1,-9.6,,,,limestone
C227,713.8,3,-8.4,,,,limestone
C227,716.8,9,-9.2,,,,limestone
C227,718,0.7,-7.8,-26.1,26.7,0.011,limestone
C227,718.6,8.7,-9.1,,,,limestone
C227,719.7,-2.3,-7.6,,,,limestone
C227,720.9,5.9,-8.8,,,,limestone
C227,721.9,9.2,-9,,,,limestone
C227,723,9.5,-7.9,,,,limestone
C227,724,9.1,-10.2,-24.6,33.7,0.008,limestone
C227,724.9,0.6,-8.1,,,,limestone
C227,725.8,9,-10.4,,,,limestone
C227,727,4.4,-9.2,,,,limestone
C227,728,7.6,-9.6,-24.3,31.9,0.008,limestone
C227,729.3,8.2,-10.4,,,,limestone
C227,730.3,8.3,-11,,,,limestone
C227,731.3,7.8,-11,-25.1,33,0.011,limestone
C227,732.4,7.3,-9.6,,,,limestone
C227,733.5,7.8,-11.2,,,,limestone
C227,734.5,7.3,-10.9,-25.3,32.6,0.011,limestone
C227,735.5,7.1,-11.5,,,,limestone
C227,736.5,6.6,-11.7,,,,limestone
C227,781.1,6.9,-9.9,-26.9,33.7,0.018,limestone
C227,782.3,7.2,-9.5,,,,limestone
C227,783.4,7.8,-11.7,,,,limestone
C227,784.1,7.9,-11.4,,,,limestone
C227,795.9,9.1,-11.9,,,,limestone
C227,796.9,9.4,-11.9,,,,limestone
C227,797.9,9.4,-11.3,,,,limestone
C227,799.3,9.3,-10.5,-27,36.3,0.031,limestone
C227,800.3,8.9,-10.7,,,,limestone
C227,801.4,9.2,-11,,,,limestone
C227,802.4,9.3,-11,,,,limestone
C227,832.9,5.1,-10.9,,,,limestone
C227,834.1,6.5,-11.9,,,,limestone
C227,835.2,7.1,-12.2,,,,limestone
C227,837.4,8.7,-12.4,-24.6,33.3,0.01,limestone
C227,838.4,8.7,-12,,,,limestone
C227,839.4,8.7,-11.9,,,,limestone
C227,840.5,9,-11.5,,,,limestone
C227,841.5,8.7,-11.5,,,,limestone
C227,842.6,9.1,-11.3,,,,limestone
C227,843.9,9,-11.4,,,,limestone
C227,845.1,8.9,-11.1,,,,limestone
C227,846.1,8.7,-11.7,,,,limestone
C227,847,7.9,-10.9,,,,limestone
C227,849.5,8.1,-12.3,,,,limestone
C227,850.5,8.4,-12.5,-25,33.4,0.008,limestone
C227,851.6,8.3,-12.2,,,,limestone
C227,853.6,7.4,-12.8,,,,limestone
C227,854.7,8.1,-14.2,,,,limestone
C227,857.1,7.9,-11.5,,,,limestone
C227,858.2,8.1,-12,,,,limestone
C227,859.2,7.7,-11.4,,,,limestone
C227,860.2,7.8,-11.6,,,,limestone
C227,861.2,7.5,-11.7,,,,limestone
C227,862.3,8.2,-12.1,-23.7,31.8,0.015,limestone
C227,864.6,8,-12.1,,,,limestone
C227,868.7,7.9,-12.5,,,,limestone
C227,869.7,7.8,-12.8,,,,limestone
C227,870.6,7.5,-12.6,,,,limestone
C227,871.7,7.2,-13,-24,31.2,0.009,limestone
C227,872.4,6.5,-12.9,,,,limestone
C227,873.4,6,-12.9,,,,limestone
