section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,dolostone,Bitter Springs,-1895.2,52.3,-2.9,-6,,,
W1,dolostone,Bitter Springs,-1893.5,54,-3.2,-5.8,,,
W1,dolostone,Bitter Springs,-1891.9,55.6,-2.9,-5.1,,,
W1,insoluble residue,Bitter Springs,-1891.8,55.7,,,-30.9,28,
W1,dolostone,Bitter Springs,-1891.2,56.3,-2.9,-5.1,,,
W1,dolostone,Bitter Springs,-1890.7,56.8,-3.1,-5.3,,,
W1,dolostone,Bitter Springs,-1890.2,57.3,-3,-5.5,,,
W1,dolostone,Bitter Springs,-1889.2,58.3,-3.1,-5.5,,,
W1,dolostone,Bitter Springs,-1888.2,59.3,-3.1,-4.8,,,
W1,dolostone,Bitter Springs,-1887.6,59.9,-3.1,-5.3,,,
W1,dolostone,Bitter Springs,-1886.2,61.3,-3.2,-5,,,
W1,insoluble residue,Bitter Springs,-1886.1,61.4,,,-28.3,25.1,
W1,dolostone,Bitter Springs,-1885.9,61.6,-3.4,-5.6,,,
W1,dolostone,Bitter Springs,-1884.9,62.6,-3.7,-6.1,,,
W1,dolostone,Bitter Springs,-1883.2,64.3,-3.7,-5.3,,,
W1,dolostone,Bitter Springs,-1882.3,65.2,-3.1,-5.8,,,
W1,limestone,Bitter Springs,-1882,65.5,-2.9,-9.8,,,
W1,dolostone,Bitter Springs,-1881.2,66.3,-3.5,-5.8,,,
W1,dolostone,Bitter Springs,-1880.1,67.4,-4.1,-5.2,,,
W1,dolostone,Bitter Springs,-1878.8,68.7,-4.2,-4.8,,,
W1,dolostone,Bitter Springs,-1878.3,69.2,-4,-5.1,,,
W1,dolostone,Bitter Springs,-1877.8,69.7,-4.1,-5,,,
W1,dolostone,Bitter Springs,-1877.6,69.9,-3.4,-5.1,,,
W1,dolostone,Bitter Springs,-1876.4,71.1,-3.8,-5.3,-30.9,27.1,
W1,dolostone,Bitter Springs,-1874.9,72.6,-3.1,-4.6,,,
W1,dolostone,Bitter Springs,-1874.3,73.2,-3.1,-3.5,,,
W1,insoluble residue,Bitter Springs,-1874.2,73.3,,,-30.7,27.6,
W1,dolostone,Bitter Springs,-1872.8,74.7,-2.8,-3.2,,,
W1,dolostone,Bitter Springs,-1872.4,75.1,-3.1,-4.7,,,
W1,dolostone,Bitter Springs,-1871.3,76.2,-2.9,-4.7,,,
W1,,Bitter Springs,-1870.9,76.6,,,,,
W1,dolostone,Bitter Springs,-1870.6,76.9,-3.2,-4.9,,,
W1,,Bitter Springs,-1870,77.5,,,,,
W1,dolostone,Bitter Springs,-1869.3,78.2,-3,-4.2,,,
W1,insoluble residue,Bitter Springs,-1868.8,78.7,,,-31,27.9,
W1,dolostone,Bitter Springs,-1868.1,79.4,-3.1,-3.7,,,
