sample,height,unit,location,bold_age,87Sr/86Sr,Sr_ppm,Mn/Sr,Rb/Sr,carb_perc,method,period,reference,bold_altered
Yd16,60,Doushantuo,"Yangjiaping section, China",,0.70794,1483,0.01,0.0002,97.3,TIMS,Ediacaran,"Cui et al., 2015",no
Yd17,65,Doushantuo,"Yangjiaping section, China",,0.70794,612,0.01,0.0006,98.7,TIMS,Ediacaran,"Cui et al., 2015",no
Yd18,70,Doushantuo,"Yangjiaping section, China",,0.70799,578,0.03,0.0007,98.4,TIMS,Ediacaran,"Cui et al., 2015",no
Yd19,75,Doushantuo,"Yangjiaping section, China",,0.70794,850,0.02,0.0008,98.9,TIMS,Ediacaran,"Cui et al., 2015",no
Yd20,79,Doushantuo,"Yangjiaping section, China",-572.282,0.70807,559,0.05,0.0006,97.5,TIMS,Ediacaran,"Cui et al., 2015",no
Yd21,84,Doushantuo,"Yangjiaping section, China",-569.865,0.70802,831,0.03,0.0003,73.9,TIMS,Ediacaran,"Cui et al., 2015",no
Yd22,88,Doushantuo,"Yangjiaping section, China",-567.93,0.70831,586,0.15,0.0024,91.3,TIMS,Ediacaran,"Cui et al., 2015",no
Yd24,96,Doushantuo,"Yangjiaping section, China",-565,0.70811,964,0.04,0.0002,98.7,TIMS,Ediacaran,"Cui et al., 2015",no
Yd25,98,Doushantuo,"Yangjiaping section, China",-564.3,0.70835,893,0.05,0.0003,84.3,TIMS,Ediacaran,"Cui et al., 2015",no
Yd26,103.4,Doushantuo,"Yangjiaping section, China",-563,0.70856,1662,0.02,0.0016,59,TIMS,Ediacaran,"Cui et al., 2015",no
,,Dengying,China,-543.1246291,0.708456,389,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Dengying,China,-546.4,0.708403,1014,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Dengying,China,-546.412,0.708415,3729,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Dengying,China,-546.958,0.708371,11034,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Dengying,China,-547.499,0.70839,3241,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Dengying,China,-547.71,0.708481,3011,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Dengying,China,-548.366,0.708421,672,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Dengying,China,-548.6,0.708518,518,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 3,China,-577.1336405,0.708129,293,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-589.3,0.707772,383,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-595.9,0.708116,369,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-598.1,0.70804,430,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-598.9,0.708179,434,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-600.2,0.708111,572,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-601.1,0.70814,524,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-606.3,0.708119,474,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-607.9,0.708109,659,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-607.9,0.708153,517,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-609.3,0.708242,534,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-612.3,0.707982,487,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-613.9,0.708284,249,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-615.6,0.708091,385,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-615.9,0.708062,475,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-618.8,0.708189,384,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-622.6,0.708295,537,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-626.4,0.708109,645,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-630,0.70794,500,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-631.9,0.708157,736,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",no
,,Member 2,China,-632,0.708019,296,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
,,Member 2,China,-634.1,0.708184,436,,,,MC-ICPMS,Ediacaran,"Sawaki and others, 2010",yes
MD2,,Buah,Oman,-552,0.70871,471,0.51,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
WS9,,Shuram,Oman,-554,0.70867,491,0.62,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
WS2,,Shuram,Oman,-556,0.70874,474,0.51,,,5 collector VG Sector instrument,Ediacaran,"Burns and others, 1994",yes
5.36,,Wonoka Fm.,South Australia,556.9,0.7091,577,1.15,,,,Ediacaran,"Calver, 2000",no
5.41,,Wonoka Fm.,South Australia,555.7729196,0.70888,717,0.54,,,,Ediacaran,"Calver, 2000",no
5.44,,Wonoka Fm.,South Australia,554.7574048,0.70868,921,0.63,,,,Ediacaran,"Calver, 2000",no
5.52,,Wonoka Fm.,South Australia,553.1198872,0.70876,1420,0.24,,,,Ediacaran,"Calver, 2000",no
5.54,,Wonoka Fm.,South Australia,552.8279267,0.70899,1064,0.42,,,,Ediacaran,"Calver, 2000",no
6.12,,Wonoka Fm.,South Australia,551.0380819,0.70901,429,0.63,,,,Ediacaran,"Calver, 2000",yes
VML-__8,,Salitre Fm.,Irece basin (Brazil),-619.5,0.70769,461,0.03,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",yes
VML-__8bc,,Salitre Fm.,Irece basin (Brazil),-594.6,0.70746,1220,0.01,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
JC-__54,,Salitre Fm.,Irece basin (Brazil),-594.2,0.70745,792,0.02,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
IR-__AM-__11,,Salitre Fm.,Irece basin (Brazil),-596.8,0.7075,2380,0.03,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
VML-__6a,,Salitre Fm.,Irece basin (Brazil),-597,0.7082,896,0.01,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
VML-__6b,,Salitre Fm.,Irece basin (Brazil),-597.4,0.7078,790,0.01,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
VML-__6c,,Salitre Fm.,Irece basin (Brazil),-597.8,0.70789,963,0.09,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
VML-__7b,,Salitre Fm.,Irece basin (Brazil),-598.1,0.70765,1430,0.01,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
VML-__3,,Salitre Fm.,Irece basin (Brazil),-632,0.7078,1720,0.02,,,MC-ICPMS,Ediacaran,"Misi and Vizer, 1998",no
C46-__84.2,,Maieberg,Namibia,-632,0.70805,894,0.19,,,TIMS,Ediacaran,"Halverson and others, 2007",no
C46-__74.4,,Maieberg,Namibia,-632.86,0.70805,1230,0.14,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__187.6,,Maieberg,Namibia,-632.88146,0.70755,690,0.03,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__158.5,,Maieberg,Namibia,-633.505946,0.70752,1900,0.02,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__151.2,,Maieberg,Namibia,-633.662604,0.70756,4270,0,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__150.2,,Maieberg,Namibia,-633.684064,0.70744,942,0.11,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__105.2,,Maieberg,Namibia,-633.877204,0.70756,1280,,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__96.2,,Maieberg,Namibia,-634.055322,0.70748,1360,0.03,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P1012X-__87.9,,Maieberg,Namibia,-634.076782,0.70758,1170,0.07,,,TIMS,Ediacaran,"Halverson and others, 2007",no
C46-__20.2,,Maieberg,Namibia,-635,0.70717,1790,0.06,,,TIMS,Ediacaran,"Halverson and others, 2007",no
,,Nama,Namibia,-539,0.7087,1512,,,,TIMS,Ediacaran,"Kaufman and others, 1993",no
SS17,,Nama,Namibia,-543.9,0.70851,1591,0.04,0.12,,TIMS,Ediacaran,"Kaufman and others, 1994",no
SH12,,Nama,Namibia,-544,0.70846,3336,0.05,0.51,,TIMS,Ediacaran,"Kaufman and others, 1995",no
NG91,,Nama,Namibia,-544.9,0.70859,1886,0.22,0.04,,TIMS,Ediacaran,"Kaufman and others, 1996",no
SH43,,Nama,Namibia,-544.9,0.70853,1520,0.02,0.06,,TIMS,Ediacaran,"Kaufman and others, 1997",no
NG90,,Nama,Namibia,-545.1,0.70857,1493,0.08,0.08,,TIMS,Ediacaran,"Kaufman and others, 1998",no
NG87,,Nama,Namibia,-545.3,0.70857,2093,0.06,0.03,,TIMS,Ediacaran,"Kaufman and others, 1999",no
SH49,,Nama,Namibia,-545.4,0.70849,1979,0.03,0.07,,TIMS,Ediacaran,"Kaufman and others, 2000",no
NG85,,Nama,Namibia,-545.5,0.70858,1029,0.07,0.09,,TIMS,Ediacaran,"Kaufman and others, 2001",no
NG83,,Nama,Namibia,-545.7,0.70852,1856,0.1,0.09,,TIMS,Ediacaran,"Kaufman and others, 2002",no
,,Nama,Namibia,-550,0.7084,3596,,,,TIMS,Ediacaran,"Kaufman and others, 2003",no
P4006-346.6,,Ombaatjie,Namibia,-640.96,0.70735,1100,0.31,,,TIMS,Cryogenian,"Halverson and others, 2007",no
P1012-292,,Ombaatje,Namibia,-648.9,0.70725,868,0.03,,,TIMS,Cryogenian,"Halverson and others, 2007",no
11.97,,Rasthof,Namibia,-658.6,0.70699,1340,0.58,,,Thermionic Quadrupole MS,Cryogenian,"Yoshioka and others, 2003",no
9.94,,Rasthof,Namibia,-658.66,0.70698,1430,0.62,,,Thermionic Quadrupole MS,Cryogenian,"Yoshioka and others, 2003",no
5.96,,Rasthof,Namibia,-658.8,0.70689,1720,0.51,,,Thermionic Quadrupole MS,Cryogenian,"Yoshioka and others, 2003",no
4.95,,Rasthof,Namibia,-658.86,0.70685,1460,0.65,,,Thermionic Quadrupole MS,Cryogenian,"Yoshioka and others, 2003",no
3.99,,Rasthof,Namibia,-658.88,0.70697,790,0.38,,,Thermionic Quadrupole MS,Cryogenian,"Yoshioka and others, 2003",no
M14-172,,Hayhook,NW Canada,-633.5,0.70714,,,,,TIMS,Ediacaran,"Halverson and others, 2007",no
M14-1.7,,Hayhook,NW Canada,-633.5,0.70716,3010,0.07,,,TIMS,Ediacaran,"Halverson and others, 2007",no
G11-1.53,,Hayhook,NW Canada,-633.5,0.70716,2960,0.08,,,TIMS,Ediacaran,"Halverson and others, 2007",no
G11-0.14,,Hayhook,NW Canada,-633.7,0.70714,,,,,TIMS,Ediacaran,"Halverson and others, 2007",no
P7-12.4,,Keele,NW Canada,-640,0.7072,,,,,TIMS,Cryogenian,"Halverson and others, 2007",no
P7-4.1,,Keele,NW Canada,-641.6,0.70731,,,,,TIMS,Cryogenian,"Halverson and others, 2007",no
P7-2.2,,Keele,NW Canada,-642,0.70718,,,,,TIMS,Cryogenian,"Halverson and others, 2007",no
P10H-3,,Keele,NW Canada,-653,0.70718,,,,,TIMS,Cryogenian,"Halverson and others, 2007",no
,,Middle Keele,NW Canada,-653,0.70712,,,,,TIMS,Cryogenian,"Narbonne and others, 1994",no
F1173,0.1,Twitya,NW Canada,-659,0.70693,641,0.701148228,,96.1,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,1,Twitya,NW Canada,-659,0.7069,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,1.6,Twitya,NW Canada,-659,0.70686,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,2,Twitya,NW Canada,-659,0.70678,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,2.6,Twitya,NW Canada,-659,0.70681,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,3.1,Twitya,NW Canada,-658.9,0.70672,2763,0.062300727,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,3.7,Twitya,NW Canada,-658.9,0.70675,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,4.9,Twitya,NW Canada,-658.9,0.70682,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,5.5,Twitya,NW Canada,-658.9,0.70681,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,6,Twitya,NW Canada,-658.9,0.7068,2825,0.149146492,,96,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,7.5,Twitya,NW Canada,-658.9,0.70676,3345,0.061267793,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,8,Twitya,NW Canada,-658.9,0.70676,3052,0.068768929,,100,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,9.5,Twitya,NW Canada,-658.8,0.70674,3808,0.035227148,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,10.5,Twitya,NW Canada,-658.8,0.70682,2248,0.331882126,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,11,Twitya,NW Canada,-658.8,0.70685,2082,0.224705662,,100,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,11.5,Twitya,NW Canada,-658.8,0.70677,3007,0.198497035,,100,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,12,Twitya,NW Canada,-658.8,0.70681,2761,0.209712921,,100,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,14,Twitya,NW Canada,-658.8,0.70676,3512,0.347419975,,100,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,14.5,Twitya,NW Canada,-658.8,0.70679,2240,0.327376299,,100,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,16.5,Twitya,NW Canada,-658.7,0.70681,3084,0.205995995,,95.9,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,17,Twitya,NW Canada,-658.7,0.70692,2924,0.296948773,,96,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,17.5,Twitya,NW Canada,-658.7,0.70677,3340,0.386900006,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,19,Twitya,NW Canada,-658.7,0.70679,2372,0.201905739,,94.1,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,19.5,Twitya,NW Canada,-658.7,0.70683,2594,0.222941333,,94.1,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,20.5,Twitya,NW Canada,-658.7,0.70684,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,21,Twitya,NW Canada,-658.6,0.70692,3240,0.200074831,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,22,Twitya,NW Canada,-658.6,0.70686,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,23,Twitya,NW Canada,-658.6,0.70681,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,25.5,Twitya,NW Canada,-658.6,0.70683,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,27,Twitya,NW Canada,-658.5,0.70684,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,27.5,Twitya,NW Canada,-658.5,0.70687,1513,0.446342084,,96.1,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,28,Twitya,NW Canada,-658.5,0.70701,2898,0.153691658,,98,TIMS,Cryogenian,"Rooney and others, 2014",no
F1173,29.5,Twitya,NW Canada,-658.5,0.70692,,,,,TIMS,Cryogenian,"Rooney and others, 2014",no
F949,0.6,T1,Mongolia (Uliastai Gorge),658.97141,0.706727,2363.460331,0.112518884,0.000250637,,TIMS,Cryogenian,This study,no
F949,3,T1,Mongolia (Uliastai Gorge),658.834178,0.706814,1325.978842,0.11182714,0.000409472,,TIMS,Cryogenian,This study,no
F949,8,T1,Mongolia (Uliastai Gorge),658.548278,0.706904,1280.744685,0.033621345,0.000587068,,TIMS,Cryogenian,This study,no
F949,18,T1,Mongolia (Uliastai Gorge),657.976478,0.707367,1198.418017,0.219054888,0.001054651,,TIMS,Cryogenian,This study,no
F949,29,T2,Mongolia (Uliastai Gorge),657.347498,0.707265,2916.259201,0.042083534,0.000191654,,TIMS,Cryogenian,This study,no
F949,47,T2,Mongolia (Uliastai Gorge),656.318258,0.707286,3573.989247,0.036956624,0.0001924,,TIMS,Cryogenian,This study,no
F949,56,T2,Mongolia (Uliastai Gorge),655.803638,0.707153,,,,,TIMS,Cryogenian,This study,no
F949,65,T2,Mongolia (Uliastai Gorge),655.289018,0.707043,874.3098375,0.008239811,0.000378462,,TIMS,Cryogenian,This study,no
F949,76,T2,Mongolia (Uliastai Gorge),654.660038,0.707193,,,,,TIMS,Cryogenian,This study,no
F949,82,T2,Mongolia (Uliastai Gorge),654.316958,0.707144,,,,,TIMS,Cryogenian,This study,no
F949,88,T2,Mongolia (Uliastai Gorge),653.973878,0.707151,589.842262,0.005552163,0.000594349,,TIMS,Cryogenian,This study,no
F949,96,T2,Mongolia (Uliastai Gorge),653.516438,0.707171,,,,,TIMS,Cryogenian,This study,no
F949,102,T2,Mongolia (Uliastai Gorge),653.173358,0.707195,,,,,TIMS,Cryogenian,This study,no
F949,106,T2,Mongolia (Uliastai Gorge),652.944638,0.707208,,,,,TIMS,Cryogenian,This study,no
F949,110,T2,Mongolia (Uliastai Gorge),652.715918,0.707107,,,,,TIMS,Cryogenian,This study,no
F949,114,T2,Mongolia (Uliastai Gorge),652.487198,0.707167,,,,,TIMS,Cryogenian,This study,no
F949,116,T2,Mongolia (Uliastai Gorge),652.372838,0.707122,565.924983,0.013582599,0.000405012,,TIMS,Cryogenian,This study,no
F949,120,T2,Mongolia (Uliastai Gorge),652.144118,0.707206,,,,,TIMS,Cryogenian,This study,no
F949,124,T2,Mongolia (Uliastai Gorge),651.915398,0.707264,,,,,TIMS,Cryogenian,This study,no
F949,132,T2,Mongolia (Uliastai Gorge),651.457958,0.707161,,,,,TIMS,Cryogenian,This study,no
F949,136,T2,Mongolia (Uliastai Gorge),651.229238,0.707175,,,,,TIMS,Cryogenian,This study,no
F949,140,T2,Mongolia (Uliastai Gorge),651.000518,0.707147,743.8284267,0.061372357,0.000955152,97.3504105,TIMS,Cryogenian,This study,no
F949,144,T2,Mongolia (Uliastai Gorge),650.771798,0.707159,547.0333687,0.094173901,0.001021919,95.1641918,TIMS,Cryogenian,This study,no
F949,148,T3,Mongolia (Uliastai Gorge),650.568858,0.707217,,,,98.0348259,TIMS,Cryogenian,This study,no
F949,150,T3,Mongolia (Uliastai Gorge),650.506058,0.70717,,,,98.4465347,TIMS,Cryogenian,This study,no
F949,151,T3,Mongolia (Uliastai Gorge),,0.707213,649.4145603,0.173601574,0.0006086,96.4965174,TIMS,Cryogenian,This study,no
F949,153,T3,Mongolia (Uliastai Gorge),650.411858,0.707264,538.4313097,0.30094959,0.000591815,94.8390244,TIMS,Cryogenian,This study,no
F949,155,T3,Mongolia (Uliastai Gorge),650.349058,0.707228,,,,83.5,TIMS,Cryogenian,This study,no
F949,157,T3,Mongolia (Uliastai Gorge),650.286258,0.707237,,,,88.0326829,TIMS,Cryogenian,This study,no
F949,160,T3,Mongolia (Uliastai Gorge),650.192058,0.707183,,,,98.3551136,TIMS,Cryogenian,This study,no
F949,164,T3,Mongolia (Uliastai Gorge),650.066458,0.707273,595.101872,0.063502234,0.000704093,87.8623188,TIMS,Cryogenian,This study,no
F949,172,T3,Mongolia (Uliastai Gorge),649.815258,0.707283,2577.488404,0.003512304,0.000144589,99.5949239,TIMS,Cryogenian,This study,no
F949,184,T3,Mongolia (Uliastai Gorge),649.438458,0.707385,1212.060577,0.015956847,0.000337732,98.933,TIMS,Cryogenian,This study,no
F949,210,T3,Mongolia (Uliastai Gorge),648.622058,0.707355,1530.280359,0.015751583,0.000249458,,TIMS,Cryogenian,This study,no
F949,210,T3,Mongolia (Uliastai Gorge),,0.707363,,,,,TIMS,Cryogenian,This study,no
F949,232,T3,Mongolia (Uliastai Gorge),647.931258,0.707335,1198.932461,0.0116575,0.000298566,,TIMS,Cryogenian,This study,no
F949,264,T3,Mongolia (Uliastai Gorge),646.926458,0.707315,1263.548551,0.002317054,0.00029815,,TIMS,Cryogenian,This study,no
F949,282,T3,Mongolia (Uliastai Gorge),646.361258,0.7073,2436.186848,0.000583572,0.000165282,,TIMS,Cryogenian,This study,no
F949,332,T3,Mongolia (Uliastai Gorge),644.791258,0.707272,1292.153091,0.002200064,0.000312907,,TIMS,Cryogenian,This study,no
F949,358,T3,Mongolia (Uliastai Gorge),643.974858,0.707289,1073.931417,0.007994345,0.000314215,,TIMS,Cryogenian,This study,no
F949,378,T3,Mongolia (Uliastai Gorge),643.346858,0.707221,1172.56998,0.020047632,0.000302013,,TIMS,Cryogenian,This study,no
F949,382,T3,Mongolia (Uliastai Gorge),643.221258,0.707259,1302.849864,0.037459754,0.000289679,,TIMS,Cryogenian,This study,no
F949,388,T4,Mongolia (Uliastai Gorge),643.032858,0.707363,558.3289395,0.72305902,0.000900077,,TIMS,Cryogenian,This study,no
96TST1A,0.1,T1,Mongolia(Tsagaan Gorge),659,0.706754,2900,0.077586207,,95.2,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST3,1.5,T1,Mongolia(Tsagaan Gorge),658.9748,0.706796,1350,0.224444444,,96.5,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST6,7.5,T1,Mongolia(Tsagaan Gorge),658.8668,0.70684,,,,97.1,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST13,18,T1,Mongolia(Tsagaan Gorge),658.6778,0.70699,960,0.129166667,,97.6,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST16,22.5,T1,Mongolia(Tsagaan Gorge),658.5968,0.706944,1500,0.093333333,,98.2,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST21,30,T2,Mongolia(Tsagaan Gorge),658.4618,0.70705,1060,0.148113208,,97.5,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST24,38,T2,Mongolia(Tsagaan Gorge),658.2858,0.707094,1500,0.104,,90.1,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST31,67,T2,Mongolia(Tsagaan Gorge),657.6478,0.70709,,,,97.7,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST33,73,T2,Mongolia(Tsagaan Gorge),657.5158,0.7072,650,0.023076923,,99,,Cryogenian,"Brasier and others, 1996; Shields and others, 2002",no
96TST35,77,T2,Mongolia(Tsagaan Gorge),657.4278,0.707164,,,,99.7,,Cryogenian,"Shields and others, 2002",no
96TST37,97,T2,Mongolia(Tsagaan Gorge),656.9878,0.70729,,,,99.9,,Cryogenian,"Shields and others, 2002",no
96TST42,147,T3,Mongolia(Tsagaan Gorge),649,0.70713,,,,99.5,,Cryogenian,"Shields and others, 2002",no
96TST55,210,T3,Mongolia(Tsagaan Gorge),647.2569173,0.70734,,,,99.7,,Cryogenian,"Shields and others, 2002",no
96TST66,320,T3,Mongolia(Tsagaan Gorge),644.2134395,0.70729,,,,98.8,,Cryogenian,"Shields and others, 2002",no
96TST69,350,T3,Mongolia(Tsagaan Gorge),643.3834001,0.707345,934,,,97,,Cryogenian,"Shields and others, 2002",no
96TST71,375,T3,Mongolia(Tsagaan Gorge),642.6917006,0.707247,1110,,,91.7,,Cryogenian,"Shields and others, 2002",no
96TST75,400,T3,Mongolia(Tsagaan Gorge),642.0000011,0.707253,60,,,95,,Cryogenian,"Shields and others, 2002",yes
U1121,0.5,Ol,Mongolia(Tsagaan Gorge),-635.1868327,0.708713,121,,,,MC-ICPMS,Ediacaran,this study,yes
U1121,12,Ol,Mongolia(Tsagaan Gorge),-634.7775801,0.707556,483,,,,MC-ICPMS,Ediacaran,this study,yes
U1121,18.5,Ol,Mongolia(Tsagaan Gorge),-634.4572954,0.707562,861,,,,MC-ICPMS,Ediacaran,this study,no
U1121,32,Ol,Mongolia(Tsagaan Gorge),-633.9946619,0.707586,689,,,,MC-ICPMS,Ediacaran,this study,no
U1121,23.5,Ol,Mongolia(Tsagaan Gorge),-634.2793594,0.707588,660,,,,MC-ICPMS,Ediacaran,this study,no
U1121,21,Ol,Mongolia(Tsagaan Gorge),-634.3505338,0.707598,572,,,,MC-ICPMS,Ediacaran,this study,no
U1121,27,Ol,Mongolia(Tsagaan Gorge),-634.208185,0.707604,626,,,,MC-ICPMS,Ediacaran,this study,no
U1121,16,Ol,Mongolia(Tsagaan Gorge),-634.7064057,0.707615,686,,,,MC-ICPMS,Ediacaran,this study,no
U1121,29.5,Ol,Mongolia(Tsagaan Gorge),-634.0658363,0.707625,802,,,,MC-ICPMS,Ediacaran,this study,no
U1121,39.5,Ol,Mongolia(Tsagaan Gorge),-633.63879,0.707644,309,,,,MC-ICPMS,Ediacaran,this study,yes
U1121,9.2,Ol,Mongolia(Tsagaan Gorge),-634.8843416,0.707645,532,,,,MC-ICPMS,Ediacaran,this study,no
U1121,4,Ol,Mongolia(Tsagaan Gorge),-635.0622776,0.707718,197,,,,MC-ICPMS,Ediacaran,this study,yes
