sample,region,formation,section,height,lithology,d13C,d13C_altered,d18O,Mn_ppm,Sr_ppm,Sr_ID,Fe_ppm,Mg/Ca,Ca/Sr,Mn/Sr,Fe/Sr,Rb/Sr,87Sr/86Sr,87Sr/86Sr_ac
K95-142-70,Turukhansk,Turukhansk,YEN,70,ds,,3.1,-6.1,482,34,,4237,0.51,5038,14.13,124,,,
K95-142-75,Turukhansk,Turukhansk,YEN,75,ds,,,,959,30,,6512,0.46,4038,31.82,216,,,
K95-142-104,Turukhansk,Turukhansk,YEN,104,ds,3.5,,-5.3,170,32,,2854,0.39,5576,5.28,89,,,
K95-142-114,Turukhansk,Turukhansk,YEN,114,ds,3.1,,-6.5,139,26,,2643,0.47,7113,5.44,103,,,
K95-142-124,Turukhansk,Turukhansk,YEN,124,ds,3.4,,-6.9,128,32,27,2458,0.6,5313,4.01,77,0.0068,,
K95-142-134,Turukhansk,Turukhansk,YEN,134,ds,,,,123,22,,2432,0.38,7920,5.56,110,,,
K95-142-144,Turukhansk,Turukhansk,YEN,144,ds,2.8,,-7.2,108,21,,1937,0.43,7874,5.14,92,,,
K95-142-154,Turukhansk,Turukhansk,YEN,154,ds,,3.1,-10.1,124,24,,1963,0.43,7431,5.09,81,,,
K95-142-164,Turukhansk,Turukhansk,YEN,164,ds,2.6,,-6.8,105,23,,2063,0.48,6695,4.62,91,,,
K95-142-174,Turukhansk,Turukhansk,YEN,174,ds,3.3,,-4.4,73,26,,1712,0.43,7116,2.85,66,,,
K95-142-187,Turukhansk,Turukhansk,YEN,187,ds,3.7,,-5.3,86,23,,1713,0.4,6680,3.77,75,,,
K95-142-197,Turukhansk,Turukhansk,YEN,197,ds,,,,180,32,,2744,0.52,5079,5.58,85,,,
