section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca
G12,G12-287.8,Little Dal,287.8,569,4.95,-5.93,,24.51,23.62,569.82,8018.63,371624.47,388.03,662.57,0.1,0.04
G12,G12-290.1,Little Dal,290.1,571.3,4.67,-7.52,,49.64,33.27,333.43,2448.9,392665.81,306.6,749.27,0.17,0.01
G12,G12-293.1,Little Dal,293.1,574.3,4.78,-6.46,,29.28,30.62,348.1,7071.11,343827.09,318.73,515.64,0.15,0.03
G12,G12-296.0,Little Dal,296,577.2,4.89,-8.71,,34.04,31.3,595.77,3991.73,389633.2,213.57,580.47,0.23,0.02
G12,G12-298.9,Little Dal,298.9,580.1,4.86,-6.96,,33.56,41.5,507.27,3909.25,379580.81,222.53,696.57,0.3,0.02
G12,G12-300.3,Little Dal,300.3,581.5,4.5,-6.11,,39.83,37.49,446,4579.01,346733.33,559.07,587.4,0.11,0.02
G12,G12-303.0,Little Dal,303,584.2,4.53,-6.15,,,,,,,,,,
G12,G12-304.3,Little Dal,304.3,585.5,4.28,-8.34,,21.18,39.2,400.48,4148.8,356693.35,519.24,561.07,0.12,0.02
G12,G12-311.4,Little Dal,311.4,592.6,4.79,-5.85,,21.82,43.2,394.32,4329.02,374249.91,681.52,623.95,0.1,0.02
G12,G12-314.9,Little Dal,314.9,596.1,4.9,-6.18,,24.22,37.4,951.02,13004.75,292104.44,247.93,428.17,0.24,0.07
G12,G12-317.7,Little Dal,317.7,598.9,4.9,-6.03,0.70647,,,,,,,,,
G12,G12-321.5,Little Dal,321.5,602.7,4.92,-6.37,,23.31,28.51,304.67,3323.19,372251.2,748.88,586.64,0.06,0.01
G12,G12-324.7,Little Dal,324.7,605.9,4.27,-6.31,,23.64,68.49,1335.93,14924.24,353059.19,223.6,519.65,0.49,0.07
G12,G12-327.8,Little Dal,327.8,609,4.17,-5.65,,25.09,30.5,444.63,4108.62,370742.59,649.77,577.76,0.07,0.02
G12,G12-331.6,Little Dal,331.6,612.8,3.87,-5.66,,28.71,45.86,966.81,5420.97,370707.38,538.98,659.09,0.14,0.02
G12,G12-333.3,Little Dal,333.3,614.5,4.07,-5.86,0.70577,32.08,35.36,741.22,5971.7,388804.49,691.9,610.27,0.08,0.03
G12,G12-337.5,Little Dal,337.5,618.7,3.92,-5.73,,31.24,57.21,1302.79,7457.39,370604.29,280.76,502.01,0.32,0.03
G12,G12-340.5,Little Dal,340.5,621.7,3.89,-6.29,,34.32,85.87,2552.49,21441.9,336147.57,166.88,412.22,0.82,0.11
G12,G12-344.5,Little Dal,344.5,625.7,3.58,-6.13,,33.53,44.42,1197.43,12836.36,319123.07,205.91,418.65,0.34,0.07
G12,G12-348.3,Little Dal,348.3,629.5,3.7,-5.78,,17.6,47.13,1243.33,9705.02,364756.64,281.28,769.18,0.27,0.04
G12,G12-350.0,Little Dal,350,631.2,3.78,-5.75,,24.48,60.98,1198.23,11177.91,379670.91,297.17,603.58,0.33,0.05
G12,G12-354.1,Little Dal,354.1,635.3,3.65,-5.97,0.70583,25.79,28.96,611.72,4528.46,399205.39,555.87,710.22,0.08,0.02
G12,G12-356.8,Little Dal,356.8,638,3.87,-5.81,,19.68,28.92,564,6303.09,372792.08,403.88,595.26,0.11,0.03
G12,G12-360.5,Little Dal,360.5,641.7,3.69,-6.05,,15.31,21.82,668.61,6277.98,335314.39,216.98,538.33,0.16,0.03
G12,G12-363.5,Little Dal,363.5,644.7,3.92,-5.76,,42.51,36.44,715.29,12848.95,404230.2,459.31,473.75,0.13,0.05
G12,G12-365.8,Little Dal,365.8,647,3.98,-7.3,,50.09,36.2,403.59,3126.01,393554.6,248.8,411.89,0.23,0.01
G12,G12-369.2,Little Dal,369.2,650.4,4.02,-6.42,,59.88,45.46,1301.98,28243.16,303762.15,194.31,396.9,0.37,0.15
G12,G12-372.7,Little Dal,372.7,653.9,4.43,-6.32,,51.83,31.15,491.34,9513.05,348980.91,394.21,720.71,0.13,0.04
G12,G12-375.8,Little Dal,375.8,657,4.33,-6.63,,17.82,15.68,389.41,2545.34,333801.78,246.85,699.35,0.1,0.01
G12,G12-377.7,Little Dal,377.7,658.9,4.01,-5.99,0.70613,19.72,25.86,599.74,3660.83,304555.63,388.57,552.59,0.11,0.02
G12,G12-380.1,Little Dal,380.1,661.3,4.49,-6.7,,20.59,19.28,393.81,7133.93,324671.22,269.08,468.86,0.11,0.04
G12,G12-382.8,Little Dal,382.8,664,4.11,-5.76,,31.2,56.49,1167.09,39054.18,294337.33,177.7,451.09,0.51,0.22
G12,G12-385.7,Little Dal,385.7,666.9,4.15,-6.11,,35.43,40.4,415.6,4717.96,385491.31,301.84,419.59,0.21,0.02
G12,G12-387.5,Little Dal,387.5,668.7,4.21,-6.59,,35.24,39.65,369.84,4115.23,385408.42,382.62,475.93,0.17,0.02
G12,G12-390.2,Little Dal,390.2,671.4,3.13,-6.67,,,,,,,,,,
G12,G12-393.5,Little Dal,393.5,674.7,4.42,-6.46,,17.36,26.77,562.74,16485.49,302356.97,201.7,486.61,0.21,0.09
G12,G12-396.8,Little Dal,396.8,678,4.88,-6.53,,14.7,49.82,1317.97,74543.85,227427.06,95.29,553.3,0.83,0.54
G12,G12-399.2,Little Dal,399.2,680.4,4.48,-6.9,,17.08,63.6,996.25,33038.17,295615.35,160.44,487.16,0.63,0.18
G12,G12-401.9,Little Dal,401.9,683.1,4.46,-6.64,,18.78,34.73,1338.55,62316.19,222272.22,78.94,418.26,0.7,0.46
G12,G12-404.9,Little Dal,404.9,686.1,3.89,-7.35,,18.07,3.19,219.36,3264.8,334640.19,249.51,451.69,0.02,0.02
G12,G12-407.2,Little Dal,407.2,688.4,4.25,-7.69,,18.57,14.07,524.58,7204.07,332879.53,320.26,503.64,0.07,0.04
G12,G12-411.6,Little Dal,411.6,692.8,3.84,-7.08,,22.57,-8.09,208.14,4103.53,337286.33,382.8,474.28,-0.03,0.02
G12,G12-414.8,Little Dal,414.8,696,4.54,-6.61,,19.11,32.67,1128.98,57442.19,261344,149.99,506.35,0.35,0.36
G12,G12-417.6,Little Dal,417.6,698.8,4.48,-7.06,0.7055,16.59,-4.91,165.42,3931,322945.3,572.52,536.7,-0.01,0.02
G12,G12-419.9,Little Dal,419.9,701.1,4.14,-6.81,,18.71,6.91,245.79,5432.16,318842.33,439.37,467.91,0.03,0.03
G12,G12-422.2,Little Dal,422.2,703.4,3.59,-6.82,,20.66,3.52,246.56,3233.31,322471.81,294.16,509.45,0.02,0.02
G12,G12-424.9,Little Dal,424.9,706.1,4.1,-6.77,,23.96,13.47,475.75,9426.87,314465.11,404.51,552.5,0.05,0.05
G12,G12-427.9,Little Dal,427.9,709.1,3.51,-7,,19.61,32.36,696.89,4536.68,331110.76,159.96,499.28,0.32,0.02
G12,G12-431.0,Little Dal,431,712.2,2.61,-6.89,,17.14,65.34,1154.74,2994.43,301660.06,186.64,490.58,0.56,0.02
G12,G12-435.6,Little Dal,435.6,716.8,3.5,-6.85,,15.27,33,563.12,3311.59,297862.13,383.91,546.79,0.14,0.02
G12,G12-437.3,Little Dal,437.3,718.5,3.57,-6.53,,16.67,30.56,1063.35,10530.91,290513.85,237.42,555.66,0.21,0.06
G12,G12-440.2,Little Dal,440.2,721.4,3.67,-7.01,,14.03,32.51,821.59,6969.01,272714.14,152.37,522.04,0.34,0.04
G12,G12-444.1,Little Dal,444.1,725.3,3.87,-7.19,,16.07,28.07,592.08,2887.54,289685.77,139.62,519.76,0.32,0.02
G12,G12-447.1,Little Dal,447.1,728.3,3.6,-7.78,,7.25,22.49,953.03,3873.44,331956.34,140.05,456.65,0.26,0.02
G12,G12-449.5,Little Dal,449.5,730.7,4.02,-7.03,,44.69,47.53,532.34,3084.38,339243.09,344.73,389.44,0.22,0.01
G12,G12-451.8,Little Dal,451.8,733,3.68,-7.74,,48.29,63.68,1884.81,27025.05,292483.19,140.87,432.98,0.72,0.15
G12,G12-454.3,Little Dal,454.3,735.5,4.03,-7.36,0.70717,38.55,62.53,1072.19,15149.39,322902.93,147.84,455.63,0.67,0.08
G12,G12-458.1,Little Dal,458.1,739.3,3.75,-7.47,,25.76,51.96,1715.42,26533.57,278992.15,152.67,466.43,0.54,0.16
G12,G12-461.6,Little Dal,461.6,742.8,3.87,-7.88,,9.97,52.19,797.65,6705.22,309057.72,157.12,588.47,0.53,0.04
G12,G12-465.0,Little Dal,465,746.2,3.76,-7.95,,11.47,67.7,1804.42,22745.09,246954.45,114.41,656.77,0.94,0.15
G12,G12-467.7,Little Dal,467.7,748.9,4,-8.49,0.70622,8.6,27.89,547.15,3720.74,331651.67,388.81,667.03,0.11,0.02
G12,G12-469.8,Little Dal,469.8,751,4.14,-7.63,,16.01,127.58,2434.56,82170.16,224179.7,97.98,583.45,2.08,0.6
G12,G12-472.1,Little Dal,472.1,753.3,4.45,-7.5,,11.59,110.74,2033.23,76065.3,223366.32,108.15,635.69,1.63,0.56
G12,G12-476.6,Little Dal,476.6,757.8,4.1,-8.42,,,,,,,,,,
G12,G12-479.5,Little Dal,479.5,760.7,4.74,-7.18,,,,,,,,,,
G12,G12-482.5,Little Dal,482.5,763.7,4.73,-6.82,,,,,,,,,,
G12,G12-484.5,Little Dal,484.5,765.7,4.1,-7.81,,,,,,,,,,
G12,G12-486.7,Little Dal,486.7,767.9,4.78,-7.57,,,,,,,,,,
G12,G12-490.0,Little Dal,490,771.2,5.12,-6.67,,,,,,,,,,
G12,G12-493.0,Little Dal,493,774.2,4.93,-6.01,,,,,,,,,,
G12,G12-496.0,Little Dal,496,777.2,5.23,-6.25,,,,,,,,,,
G12,G12-499.2,Little Dal,499.2,780.4,4.4,-5.11,,,,,,,,,,
G12,G12-503.5,Little Dal,503.5,784.7,4.96,-6.53,,,,,,,,,,
G12,G12-506.5,Little Dal,506.5,787.7,4.79,-6.08,0.71104,,,,,,,,,
G12,G12-510.3,Little Dal,510.3,791.5,4.83,-6.54,,,,,,,,,,
G12,G12-513.2,Little Dal,513.2,794.4,4.87,-8.36,,,,,,,,,,
G12,G12-516.1,Little Dal,516.1,797.3,4.9,-7.73,,,,,,,,,,
G12,G12-518.0,Little Dal,518,799.2,4.47,-7.34,,,,,,,,,,
G12,G12-519.8,Little Dal,519.8,801,4.64,-9.72,,,,,,,,,,
G12,G12-522.5,Little Dal,522.5,803.7,4.81,-7.64,,,,,,,,,,
G12,G12-528.1,Little Dal,528.1,809.3,4.98,-6.82,,,,,,,,,,
G12,G12-530.0,Little Dal,530,811.2,5.33,-9.68,,,,,,,,,,
G12,G12-531.7,Little Dal,531.7,812.9,4.17,-7.53,,,,,,,,,,
G12,G12-533.6,Little Dal,533.6,814.8,3.03,-7.2,,,,,,,,,,
G12,G12-539.5,Little Dal,539.5,820.7,4.43,-6,,,,,,,,,,
G12,G12-542.3,Little Dal,542.3,823.5,2.93,-7.3,,,,,,,,,,
G12,G12-545.1,Little Dal,545.1,826.3,3.74,-7.21,0.70709,,,,,,,,,
G12,G12-547.5,Little Dal,547.5,828.7,4.32,-7.51,,,,,,,,,,
G12,G12-549.2,Little Dal,549.2,830.4,4.11,-7.24,,,,,,,,,,
G12,G12-552.6,Little Dal,552.6,833.8,3.97,-7.31,,,,,,,,,,
G12,G12-554.6,Little Dal,554.6,835.8,4.16,-8.59,,,,,,,,,,
G12,G12-556.9,Little Dal,556.9,838.1,4.11,-7.47,,,,,,,,,,
G12,G12-559.7,Little Dal,559.7,840.9,4.3,-7.31,,,,,,,,,,
G12,G12-563.0,Little Dal,563,844.2,4.38,-8.19,,,,,,,,,,
G12,G12-566.3,Little Dal,566.3,847.5,4.46,-8.69,,,,,,,,,,
G12,G12-570.2,Little Dal,570.2,851.4,4.15,-8.96,,,,,,,,,,
G12,G12-572.6,Little Dal,572.6,853.8,3.88,-9.27,,,,,,,,,,
G12,G12-587.0,Little Dal,587,868.2,4.2,-10.51,,,,,,,,,,
G12,G12-589.0,Little Dal,589,870.2,2.47,-7.83,,,,,,,,,,
G12,G12-592.5,Little Dal,592.5,873.7,4.46,-6.23,,,,,,,,,,
G12,G12-596.8,Little Dal,596.8,878,4.7,-6.37,,,,,,,,,,
G12,G12-599.4,Little Dal,599.4,880.6,5.04,-8.41,,,,,,,,,,
G12,G12-605.0,Little Dal,605,886.2,4.58,-6.14,0.70991,,,,,,,,,
G12,G12-610.9,Little Dal,610.9,892.1,5.13,-5.67,,,,,,,,,,
G12,G12-635.5,Little Dal,635.5,916.7,3.51,-7.02,,,,,,,,,,
G12,G12-638.8,Little Dal,638.8,920,1.86,-9.44,,,,,,,,,,
G12,G12-660.0,Little Dal,660,941.2,4.89,-9.72,,,,,,,,,,
G12,G12-664.3,Little Dal,664.3,945.5,5.88,-8.08,,,,,,,,,,
G12,G12-666.6,Little Dal,666.6,947.8,5.6,-8.58,,,,,,,,,,
G12,G12-669.1,Little Dal,669.1,950.3,5.43,-9.49,,,,,,,,,,
G12,G12-671.2,Little Dal,671.2,952.4,5.65,-8.18,,,,,,,,,,
G12,G12-674.4,Little Dal,674.4,955.6,5.42,-8.13,,,,,,,,,,
G12,G12-676.1,Little Dal,676.1,957.3,5.21,-9.33,,,,,,,,,,
G12,G12-681.2,Little Dal,681.2,962.4,4.7,-8.09,,,,,,,,,,
G12,G12-684.0,Little Dal,684,965.2,5.06,-7.17,,,,,,,,,,
G12,G12-693.0,Little Dal,693,974.2,4.86,-5.66,,,,,,,,,,
G12,G12-697.0,Little Dal,697,978.2,4.91,-5.82,,,,,,,,,,
G12,G12-704.4,Little Dal,704.4,985.6,5.03,-11.51,,,,,,,,,,
G12,G12-710.0,Little Dal,710,991.2,4.85,-12.23,,,,,,,,,,
G12,G12-727.0,Little Dal,727,1008.2,3.5,-11.46,,,,,,,,,,
G12,G12-741.0,Little Dal,741,1022.2,2.85,-7.25,,,,,,,,,,
G12,G12-853.7,Little Dal,853.7,1134.9,2.93,-4.94,,,,,,,,,,
G12,G12-857.1,Little Dal,857.1,1138.3,0.79,-4.37,,,,,,,,,,
G12,G12-858.6,Little Dal,858.6,1139.8,-0.08,-5.32,,,,,,,,,,
G12,G12-877.0,Little Dal,877,1158.2,1.35,-9.82,,,,,,,,,,
G12,G12-957.5,Little Dal,957.5,1238.7,2.38,-7.77,,,,,,,,,,
G12,G12-970.0,Little Dal,970,1251.2,4.9,-7.1,,,,,,,,,,
G12,G12-972.5,Little Dal,972.5,1253.7,5.14,-7.18,,,,,,,,,,
G12,G12-974.5,Little Dal,974.5,1255.7,5.53,-6.52,0.71119,,,,,,,,,
G12,G12-977.1,Little Dal,977.1,1258.3,5.35,-6.72,,,,,,,,,,
G12,G12-979.5,Little Dal,979.5,1260.7,4.85,-6.55,,,,,,,,,,
G12,G12-982.7,Little Dal,982.7,1263.9,4.02,-3.88,,,,,,,,,,
G12,G12-993.0,Little Dal,993,1274.2,5.22,-5.33,,,,,,,,,,
G12,G12-996.2,Little Dal,996.2,1277.4,7.65,-5.43,,,,,,,,,,
G12,G12-998.5,Little Dal,998.5,1279.7,7.2,-4.96,,,,,,,,,,
G12,G12-1000.8,Little Dal,1000.8,1282,8.16,-5.72,,,,,,,,,,
G12,G12-1003.6,Little Dal,1003.6,1284.8,7.28,-6.22,0.70922,24.07,135.41,2653.74,137219.62,249358.61,49.21,617.14,4.39,0.91
G12,G12-1007.0,Little Dal,1007,1288.2,7.08,-5.68,,,,,,,,,,
G12,G12-1012.8,Little Dal,1012.8,1294,6.12,-6.59,,,,,,,,,,
G12,G12-1015.8,Little Dal,1015.8,1297,5.78,-6.37,,,,,,,,,,
G12,G12-1018.6,Little Dal,1018.6,1299.8,5.71,-6.24,,,,,,,,,,
G12,G12-1022.5,Little Dal,1022.5,1303.7,5.23,-6.58,,,,,,,,,,
G12,G12-1027.0,Little Dal,1027,1308.2,4.77,-6.54,,,,,,,,,,
G12,G12-1031.8,Little Dal,1031.8,1313,4.59,-6.49,,,,,,,,,,
G12,G12-1036.0,Little Dal,1036,1317.2,4.76,-6.74,,,,,,,,,,
G12,G12-1041.0,Little Dal,1041,1322.2,4.36,-6.46,,,,,,,,,,
G12,G12-1045.0,Little Dal,1045,1326.2,4.05,-6.72,,,,,,,,,,
G12,G12-1048.3,Little Dal,1048.3,1329.5,3.89,-6.25,,,,,,,,,,
G12,G12-1053.0,Little Dal,1053,1334.2,4.24,-6.62,,,,,,,,,,
G12,G12-1056.5,Little Dal,1056.5,1337.7,4.09,-6.39,,,,,,,,,,
G12,G12-1060.7,Little Dal,1060.7,1341.9,5.23,-6.38,,,,,,,,,,
G12,G12-1062.9,Little Dal,1062.9,1344.1,5.6,-6.69,,,,,,,,,,
G12,G12-1066.2,Little Dal,1066.2,1347.4,5.68,-6.36,,,,,,,,,,
G12,G12-1068.4,Little Dal,1068.4,1349.6,5.88,-5.97,,,,,,,,,,
G12,G12-1071.7,Little Dal,1071.7,1352.9,5.62,-5.69,0.70803,26.18,64.26,2081.85,135807.96,251142.35,61.24,753.84,1.67,0.89
G12,G12-1080.6,Little Dal,1080.6,1361.8,7.37,-5.15,,,,,,,,,,
G12,G12-1084.4,Little Dal,1084.4,1365.6,7.11,-5.67,,,,,,,,,,
G12,G12-1088.3,Little Dal,1088.3,1369.5,6.92,-5.62,,,,,,,,,,
G12,G12-1090.3,Little Dal,1090.3,1371.5,6.05,-4.56,,,,,,,,,,
G12,G12-1093.0,Little Dal,1093,1374.2,7.42,-4.48,,,,,,,,,,
G12,G12-1097.4,Little Dal,1097.4,1378.6,6.48,-5.82,,,,,,,,,,
G12,G12-1102.6,Little Dal,1102.6,1383.8,6.51,-4.76,,,,,,,,,,
G12,G12-1106.9,Little Dal,1106.9,1388.1,6.7,-5.83,,,,,,,,,,
G12,G12-1110.4,Little Dal,1110.4,1391.6,6.21,-4.78,,,,,,,,,,
G12,G12-1122.2,Little Dal,1122.2,1403.4,4.72,-3.7,,,,,,,,,,
G12,G12-1127.6,Little Dal,1127.6,1408.8,-0.36,-5.12,,,,,,,,,,
G12,G12-1131.5,Little Dal,1131.5,1412.7,-0.85,-6.84,,,,,,,,,,
G12,G12-1134.0,Little Dal,1134,1415.2,-0.3,-6.32,,,,,,,,,,
G12,G12-1141.0,Little Dal,1141,1422.2,-0.45,-7.29,,,,,,,,,,
G12,G12-1145.3,Little Dal,1145.3,1426.5,-1.07,-6.87,,,,,,,,,,
G12,G12-1149.1,Little Dal,1149.1,1430.3,-1.6,-7.1,,,,,,,,,,
G12,G12-1152.6,Little Dal,1152.6,1433.8,-2.18,-6.05,,,,,,,,,,
G12,G12-1158.0,Little Dal,1158,1439.2,-2.1,-5.98,,,,,,,,,,
G12,G12-1161.8,Little Dal,1161.8,1443,-2.22,-5.42,,,,,,,,,,
G12,G12-1165.0,Little Dal,1165,1446.2,-1.77,-5.81,,,,,,,,,,
G12,G12-1169.1,Little Dal,1169.1,1450.3,-2.3,-5.69,,,,,,,,,,
G12,G12-1171.6,Little Dal,1171.6,1452.8,-2.14,-5.45,,,,,,,,,,
G12,G12-1176.0,Little Dal,1176,1457.2,-2.6,-5.58,,,,,,,,,,
G12,G12-1179.6,Little Dal,1179.6,1460.8,-1.49,-5.47,0.70852,24.18,45.96,1728.26,137567.75,246716.94,36.9,542.51,1.99,0.92
G12,G12-1185.3,Little Dal,1185.3,1466.5,-1.54,-5.57,,,,,,,,,,
G12,G12-1188.2,Little Dal,1188.2,1469.4,-1.77,-5.47,,,,,,,,,,
G12,G12-1193.0,Little Dal,1193,1474.2,-2.21,-5.95,,,,,,,,,,
G12,G12-1196.5,Little Dal,1196.5,1477.7,-1.95,-5.64,,,,,,,,,,
G12,G12-1201.0,Little Dal,1201,1482.2,-2,-5.69,,,,,,,,,,
G12,G12-1203.0,Little Dal,1203,1484.2,-2.12,-5.72,,,,,,,,,,
G12,G12-1206.0,Little Dal,1206,1487.2,-1.72,-5.28,,,,,,,,,,
G12,G12-1209.4,Little Dal,1209.4,1490.6,-2.15,-5.4,,,,,,,,,,
G12,G12-1211.7,Little Dal,1211.7,1492.9,-1.99,-5.13,,,,,,,,,,
G12,G12-1216.0,Little Dal,1216,1497.2,-2.09,-5.04,,,,,,,,,,
G12,G12-1222.0,Little Dal,1222,1503.2,-1.97,-4.41,,,,,,,,,,
G12,G12-1224.9,Little Dal,1224.9,1506.1,-1.53,-4.72,,,,,,,,,,
G12,G12-1227.6,Little Dal,1227.6,1508.8,-1.34,-4.58,,,,,,,,,,
G12,G12-1231.0,Little Dal,1231,1512.2,-1.55,-4.39,,,,,,,,,,
G12,G12-1233.7,Little Dal,1233.7,1514.9,-1,-3.94,,,,,,,,,,
G12,G12-1236.7,Little Dal,1236.7,1517.9,0.32,-4.66,,,,,,,,,,
G12,G12-1239.6,Little Dal,1239.6,1520.8,-1.35,-4.76,,,,,,,,,,
G12,G12-1242.0,Little Dal,1242,1523.2,-0.52,-4.14,,,,,,,,,,
G12,G12-1248.0,Little Dal,1248,1529.2,-1.12,-3.18,,,,,,,,,,
G12,G12-1250.0,Little Dal,1250,1531.2,-1.35,-4.21,,,,,,,,,,
G12,G12-1253.7,Little Dal,1253.7,1534.9,-0.86,-4.37,,,,,,,,,,
G12,G12-1256.6,Little Dal,1256.6,1537.8,-0.89,-4.29,,,,,,,,,,
G12,G12-1260.2,Little Dal,1260.2,1541.4,-0.65,-4.46,,,,,,,,,,
G12,G12-1266.0,Little Dal,1266,1547.2,-1.28,-4.33,,,,,,,,,,
G12,G12-1269.2,Little Dal,1269.2,1550.4,-1.04,-4.45,,,,,,,,,,
G12,G12-1273.5,Little Dal,1273.5,1554.7,-1.12,-4.64,,,,,,,,,,
G12,G12-1276.4,Little Dal,1276.4,1557.6,-0.97,-4.53,0.70925,20.91,106.73,3079.47,129075.88,223112.45,56.77,496.68,3,0.95
G12,G12-1280.6,Little Dal,1280.6,1561.8,-1.27,-4.55,,,,,,,,,,
G12,G12-1283.8,Little Dal,1283.8,1565,-0.59,-4.27,,,,,,,,,,
G12,G12-1288.8,Little Dal,1288.8,1570,0.59,-4.44,,,,,,,,,,
G12,G12-1291.5,Little Dal,1291.5,1572.7,1.03,-3.93,,,,,,,,,,
G12,G12-1294.3,Little Dal,1294.3,1575.5,0.05,-3.78,,,,,,,,,,
G12,G12-1298.2,Little Dal,1298.2,1579.4,1.31,-3.14,,,,,,,,,,
G12,G12-1300.8,Little Dal,1300.8,1582,0.67,-4.47,,,,,,,,,,
G12,G12-1306.0,Little Dal,1306,1587.2,0.58,-4.69,,,,,,,,,,
G12,G12-1308.0,Little Dal,1308,1589.2,1.26,-4.55,,,,,,,,,,
G12,G12-1312.0,Little Dal,1312,1593.2,1.22,-4.19,,,,,,,,,,
G12,G12-1314.2,Little Dal,1314.2,1595.4,1.27,-4.23,,,,,,,,,,
G12,G12-1317.3,Little Dal,1317.3,1598.5,1.46,-2.94,,,,,,,,,,
G12,G12-1320.6,Little Dal,1320.6,1601.8,3.16,-2.82,,,,,,,,,,
G12,G12-1324.0,Little Dal,1324,1605.2,3.09,-3.88,,,,,,,,,,
G12,G12-1327.6,Little Dal,1327.6,1608.8,5.16,-2.8,,,,,,,,,,
G12,G12-1330.5,Little Dal,1330.5,1611.7,4.57,-3.46,,,,,,,,,,
G12,G12-1333.0,Little Dal,1333,1614.2,2.91,-4.03,,,,,,,,,,
G12,G12-1336.0,Little Dal,1336,1617.2,6.17,-4.07,,,,,,,,,,
G12,G12-1338.9,Little Dal,1338.9,1620.1,6.2,-3.57,,,,,,,,,,
G12,G12-1342.0,Little Dal,1342,1623.2,5.72,-4.53,,,,,,,,,,
G12,G12-1343.5,Little Dal,1343.5,1624.7,5.02,-4.21,,,,,,,,,,
G12,G12-1345.5,Little Dal,1345.5,1626.7,5.46,-4.41,,,,,,,,,,
G12,G12-1347.0,Little Dal,1347,1628.2,5.69,-5.24,,,,,,,,,,
G12,G12-1350.0,Little Dal,1350,1631.2,5.16,-4.45,,,,,,,,,,
G12,G12-1353.5,Little Dal,1353.5,1634.7,2.48,-4.75,,,,,,,,,,
G12,G12-1356.4,Little Dal,1356.4,1637.6,5.17,-4.36,0.70882,23.49,90.67,1774.9,122794.68,222174.09,57.6,471.99,2.51,0.91
G12,G12-1359.4,Little Dal,1359.4,1640.6,5.1,-4.17,,,,,,,,,,
G12,G12-1361.8,Little Dal,1361.8,1643,4.83,-3.71,,,,,,,,,,
G12,G12-1364.0,Little Dal,1364,1645.2,4.59,-1.96,,,,,,,,,,
G12,G12-1367.0,Little Dal,1367,1648.2,3.75,-4.32,,,,,,,,,,
G12,G12-1370.5,Little Dal,1370.5,1651.7,3.97,-4.46,,,,,,,,,,
G12,G12-1373.0,Little Dal,1373,1654.2,3.63,-4.96,,,,,,,,,,
G12,G12-1378.8,Little Dal,1378.8,1660,3.74,-4.99,,,,,,,,,,
G12,G12-1382.0,Little Dal,1382,1663.2,3.7,-4.62,,,,,,,,,,
G12,G12-1388.5,Little Dal,1388.5,1669.7,2.45,-4.14,,,,,,,,,,
G12,G12-1394.0,Little Dal,1394,1675.2,4.23,-7.82,,,,,,,,,,
G12,G12-1398.0,Little Dal,1398,1679.2,2.1,-4.58,,,,,,,,,,
G12,G12-1401.2,Little Dal,1401.2,1682.4,-0.29,-4.8,,,,,,,,,,
G12,G12-1420.0,Little Dal,1420,1701.2,5.16,-7.86,,,,,,,,,,
G12,G12-1425.0,Little Dal,1425,1706.2,3.13,-5.95,,,,,,,,,,
G12,G12-1429.0,Little Dal,1429,1710.2,0.59,-3.25,,,,,,,,,,
G12,G12-1434.5,Little Dal,1434.5,1715.7,2.89,-2.91,,,,,,,,,,
G12,G12-1439.0,Little Dal,1439,1720.2,1.76,-6.27,,,,,,,,,,
G12,G12-1444.6,Little Dal,1444.6,1725.8,-1.32,-3.2,,,,,,,,,,
G12,G12-1446.5,Little Dal,1446.5,1727.7,2.65,0.17,,,,,,,,,,
G12,G12-1446.5a,Little Dal,1446.5a,1727.7,2.53,-6.63,,,,,,,,,,
G12,G12-1447.5,Little Dal,1447.5,1728.7,1.65,-5.05,,,,,,,,,,
G12,G12-1451.4,Little Dal,1451.4,1732.6,1.97,-6.73,,,,,,,,,,
G12,G12-1453.8,Little Dal,1453.8,1735,2.17,-3.52,,,,,,,,,,
G12,G12-1455.0,Little Dal,1455,1736.2,4.04,5.25,,,,,,,,,,
G12,G12-1457.5,Little Dal,1457.5,1738.7,3.48,0.42,,,,,,,,,,
G12,G12-1459.0,Little Dal,1459,1740.2,4.22,-4.08,,,,,,,,,,
G12,G12-1463.3,Little Dal,1463.3,1744.5,2.95,-2.94,,,,,,,,,,
G12,G12-1465.6,Little Dal,1465.6,1746.8,2.8,-0.83,,,,,,,,,,
G12,G12-1469.5,Little Dal,1469.5,1750.7,2.82,-0.72,,,,,,,,,,
G12,G12-1473.3,Little Dal,1473.3,1754.5,2.06,-5.96,,,,,,,,,,
G12,G12-1476.4,Little Dal,1476.4,1757.6,1.96,-2.58,,,,,,,,,,
G12,G12-1479.6,Little Dal,1479.6,1760.8,3.8,-0.89,,,,,,,,,,
G12,G12-1482.5,Little Dal,1482.5,1763.7,4.01,-2.33,,,,,,,,,,
G12,G12-1485.5,Little Dal,1485.5,1766.7,0.48,1.3,,,,,,,,,,
G12,G12-1488.6,Little Dal,1488.6,1769.8,2.46,-2.98,,,,,,,,,,
G12,G12-1492.9,Little Dal,1492.9,1774.1,3.72,-4.34,,,,,,,,,,
G12,G12-1495.6,Little Dal,1495.6,1776.8,1.92,-2.37,,,,,,,,,,
G12,G12-1499.5,Little Dal,1499.5,1780.7,1.78,-2.65,,,,,,,,,,
G12,G12-1502.5,Little Dal,1502.5,1783.7,2.42,-0.98,,,,,,,,,,
