section,section_height,d13C,d13C_std,d18O,d18O_std,strat_m,mts_mtx,si_d,d44_40Ca,87Sr/86Sr,Ca_ppm,Mg_ppm,Al_ppm,Fe_ppm,K_ppm,Mn_ppm,Na_ppm,Sr_ppm
T27,5.1,3.5,0.0462,-4.73,0.1821,2971.1,mtx,0.3,,,,,,,,,,
T27,6.2,2.88,0.1053,-6.77,0.4183,2972.2,mtx,0.01,,,,,,,,,,
T27,10.3,3.02,0.034,-5.2,0.1295,2976.3,mtx,0.01,,,,,,,,,,
T27,11.8,2.66,0.0506,-5.75,0.1132,2977.8,mtx,0.01,,,,,,,,,,
T27,17.4,3.67,0.0578,-4.73,0.313,2983.4,mtx,0.1,,,,,,,,,,
T27,20.1,3.2,0.0989,-6.21,0.3093,2986.1,mtx,0.5,,,,,,,,,,
T27,29.6,1.78,0.0417,-5.12,0.1683,2995.6,mtx,0.01,,,,,,,,,,
T27,31.7,1.71,0.0409,-4.73,0.1318,2997.7,mtx,0.5,,,,,,,,,,
T27,37.3,0.66,0.0268,-4.4,0.1501,3003.3,mtx,0.7,,,,,,,,,,
T27,47.9,2.84,0.0495,-5.71,0.253,3013.9,mtx,0.0,,,,,,,,,,
T27,66.1,1.76,0.0513,-5.88,0.1653,3032.1,mtx,1.4,,,,,,,,,,
T27,108.6,3.8,0.0451,-7.7,0.1506,3074.6,mtx,0.7,,,,,,,,,,
T27,129.2,2.5,0.07,-5.5,0.3033,3095.2,mtx,0.0,,,,,,,,,,
T27,131.4,1.94,0.0448,-4.36,0.173,3097.4,mtx,0.01,,,,,,,,,,
T27,134.4,1.44,0.0439,-5.06,0.2743,3100.4,mtx,0.1,,,,,,,,,,
T27,138.6,1.31,0.062,-4.93,0.3751,3104.6,mtx,0.01,,,,,,,,,,
T27,153.8,1.57,0.0507,-4.44,0.3227,3119.8,mtx,0.01,,,,,,,,,,
T27,156.1,1.66,0.0461,-4.18,0.2891,3122.1,mtx,0.2,,,,,,,,,,
T27,157.4,1.69,0.0742,-5.01,0.3448,3123.4,mtx,0.2,,,,,,,,,,
T27,161.3,1.87,0.0624,-4.86,0.1805,3127.3,mtx,0.1,,,,,,,,,,
T27,165.6,2.23,0.1059,-5.13,0.2802,3131.6,mtx,0.01,,,,,,,,,,
T27,167.4,2.06,0.042,-5.55,0.1867,3133.4,mtx,0.0,,,,,,,,,,
T27,169.4,0.4,0.0335,-5.49,0.1369,3135.4,mtx,0.0,,,,,,,,,,
T27,192.7,1.24,0.0255,-3.32,0.1563,3158.7,mtx,0.0,,,,,,,,,,
T27,193.3,1.13,0.0243,-2.67,0.1169,3159.3,mtx,0.0,,,,,,,,,,
T27,194.9,0.6,0.0267,-2.48,0.052,3160.9,mtx,0.0,,,,,,,,,,
T27,198.3,0.56,0.0522,-2.58,0.1617,3164.3,mtx,0.0,,,,,,,,,,
T27,200.8,0.69,0.0396,-2.4,0.1247,3166.8,mtx,0.2,,,,,,,,,,
T27,203.4,1.18,0.0806,-2.61,0.2381,3169.4,mtx,0.0,,,,,,,,,,
T27,204.5,1.11,0.024,-2.72,0.143,3170.5,mtx,0.9,,,,,,,,,,
T27,209.8,1.5,0.0597,-2.42,0.0798,3175.8,mtx,0.01,,,,,,,,,,
T27,212.1,1.29,0.0589,-3.34,0.1007,3178.1,mtx,0.6,,,,,,,,,,
T27,225.4,-0.19,0.122,-6.52,0.6212,3191.4,mtx,0.0,,,,,,,,,,
T27,245.1,-2.07,0.0375,-5.51,0.1711,3211.1,mtx,0.0,,,,,,,,,,
T27,246.3,-1.72,0.035,-6.69,0.1111,3212.3,mtx,0.0,,,,,,,,,,
T27,247.7,0.04,0.0365,-6.04,0.1011,3213.7,mtx,0.0,,,,,,,,,,
T27,280.1,1.08,0.0581,-7.04,0.2444,3246.1,mtx,0.01,,,,,,,,,,
T27,314.7,1.09,0.0247,-7.18,0.1735,3280.7,mtx,0.0,,,,,,,,,,
T27,316.3,0.97,0.0307,-4.86,0.159,3282.3,mtx,0.0,,,,,,,,,,
T27,319.4,1.33,0.0435,-5.92,0.1138,3285.4,mtx,0.0,,,,,,,,,,
T27,322.5,1.35,0.0504,-6.35,0.1555,3288.5,mtx,0.0,,,,,,,,,,
T27,324.9,0.5,0.081,-7.84,0.1977,3290.9,mtx,0.0,,,,,,,,,,
T27,329.4,1.37,0.0715,-7.06,0.2099,3295.4,mtx,0.0,,,,,,,,,,
T27,332.6,0.52,0.1282,-6.85,0.177,3298.6,mtx,0.1,,,,,,,,,,
T27,333.8,0.86,0.0935,-4.75,0.1049,3299.8,mtx,0.0,,,,,,,,,,
T27,337.9,1.49,0.0282,-5.6,0.1272,3303.9,mtx,0.0,,,,,,,,,,
T27,359.1,1.68,0.0516,-6.93,0.1941,3325.1,mtx,0.0,,,,,,,,,,
T27,363.8,0.8,0.0406,-7.06,0.1332,3329.8,mtx,0.0,,,,,,,,,,
T27,419.5,1.61,0.0734,-6.31,0.1793,3385.5,mtx,0.2,,,,,,,,,,
T27,423.3,-4.63,0.0378,-41.85,0.1233,3389.3,mtx,0.0,,,,,,,,,,
T27,425.5,1.72,0.056,-5.68,0.1609,3391.5,mtx,0.0,,,,,,,,,,
T27,426.8,1.0,0.0088,-5.91,0.0139,3392.8,mtx,0.0,,,,,,,,,,
T27,428.2,2.0,0.0617,-5.97,0.2209,3394.2,mtx,0.0,,,,,,,,,,
T27,430.4,-0.6,0.0393,-6.38,0.0976,3396.4,mtx,0.0,,,,,,,,,,
T27,433.2,1.27,0.0673,-6.04,0.2212,3399.2,mtx,0.2,,,,,,,,,,
T27,434.9,1.19,0.0504,-5.67,0.1927,3400.9,mtx,0.0,,,,,,,,,,
T27,438.8,1.29,0.0244,-6.28,0.0647,3404.8,mtx,0.01,,,,,,,,,,
T27,444.6,1.37,0.058,-6.52,0.3629,3410.6,mtx,0.0,,,,,,,,,,
T27,449.3,0.14,0.0667,-6.6,0.2548,3415.3,mtx,0.0,,,,,,,,,,
T27,473.0,1.64,0.0516,-6.93,0.1899,3439.0,mtx,0.0,,,,,,,,,,
T27,479.0,0.56,0.0468,-7.57,0.1533,3445.0,mtx,0.2,,,,,,,,,,
T27,482.4,-0.24,0.059,-7.82,0.3513,3448.4,mtx,0.2,,,,,,,,,,
T27,484.7,-0.39,0.1021,-6.96,0.3395,3450.7,mtx,0.9,,,,,,,,,,
T27,530.4,-0.6,0.0246,-7.56,0.1195,3496.4,mtx,0.7,,,,,,,,,,
T27,536.1,-1.4,0.0228,-5.6,0.2259,3502.1,mtx,0.2,,,,,,,,,,
T27,538.0,-1.71,0.054,-8.23,0.14,3504.0,mtx,0.01,,,,,,,,,,
T27,561.0,-2.18,0.0623,-4.92,0.2257,3527.0,mtx,1.8,,,,,,,,,,
T27,579.2,-1.09,0.0678,-5.01,0.2158,3545.2,mtx,0.01,,,,,,,,,,
T27,596.1,0.47,0.0977,-10.18,0.2877,3562.1,mtx,0.1,,,,,,,,,,
T27,597.7,0.67,0.0919,-8.81,0.9226,3563.7,mtx,0.9,,,,,,,,,,
T27,600.7,0.62,0.0402,-5.55,0.1265,3566.7,mtx,0.2,,,,,,,,,,
T27,604.8,-0.25,0.0791,-7.82,0.3391,3570.8,mtx,0.0,,,,,,,,,,
T27,618.2,0.48,0.0974,-4.96,0.29,3584.2,mtx,0.3,,,,,,,,,,
T27,624.0,0.18,0.0321,-6.13,0.0981,3590.0,mtx,0.2,,,,,,,,,,
T27,643.4,0.73,0.0404,-4.03,0.0474,3609.4,mtx,0.0,,,,,,,,,,
T27,651.3,1.87,0.0628,-0.64,0.3106,3617.3,mtx,0.4,,,,,,,,,,
T27,666.9,0.67,0.0688,-4.38,0.2308,3632.9,mtx,1.4,,,,,,,,,,
T27,672.9,0.57,0.1396,-4.24,0.3072,3638.9,mtx,0.0,,,,,,,,,,
T27,676.6,0.14,0.1204,-4.86,0.6462,3642.6,mtx,0.7,,,,,,,,,,
T27,679.2,0.27,0.0412,-5.33,0.1129,3645.2,mtx,0.1,,,,,,,,,,
T27,684.1,0.93,0.0596,-3.94,0.1486,3650.1,mtx,0.9,,,,,,,,,,
T27,695.2,0.74,0.0649,-3.22,0.3587,3661.2,mtx,0.0,,,,,,,,,,
T27,696.3,0.79,0.0301,-2.98,0.1702,3662.3,mtx,0.0,,,,,,,,,,
T27,702.3,0.36,0.0689,-3.99,0.1634,3668.3,mtx,0.0,,,,,,,,,,
T27,716.0,1.19,0.064,-3.76,0.1129,3682.0,mtx,8.0,,,,,,,,,,
T27,716.7,1.22,0.0654,-4.1,0.2054,3682.7,mtx,7.7,,,,,,,,,,
T27,722.0,1.53,0.0576,-4.32,0.1371,3688.0,mtx,2.4,,,,,,,,,,
T27,725.3,0.8,0.0486,-4.51,0.1749,3691.3,mtx,0.0,,,,,,,,,,
T27,726.1,0.86,0.0249,-4.53,0.1466,3692.1,mtx,0.0,,,,,,,,,,
T27,740.0,0.84,0.0455,-4.7,0.1104,3706.0,mtx,0.1,,,,,,,,,,
T27,743.5,0.21,0.0402,-5.49,0.0924,3709.5,mtx,2.0,,,,,,,,,,
T27,745.6,1.66,0.0324,-3.13,0.1427,3711.6,mtx,0.8,,,,,,,,,,
T27,750.3,1.35,0.0429,-6.15,0.0863,3716.3,mtx,0.0,,,,,,,,,,
T27,757.1,1.64,0.0532,-2.99,0.088,3723.1,mtx,0.4,,,,,,,,,,
T27,760.4,0.63,0.0609,-3.56,0.183,3726.4,mtx,2.0,,,,,,,,,,
T27,776.4,2.12,0.0394,-3.4,0.0606,3742.4,mtx,0.9,,,,,,,,,,
T27,780.9,1.7,0.0382,-2.67,0.1434,3746.9,mtx,1.2,,,,,,,,,,
T27,792.4,0.99,0.0486,-5.89,0.1269,3758.4,mtx,0.01,,,,,,,,,,
T27,793.3,0.85,0.0544,-6.5,0.2653,3759.3,mtx,0.01,,,,,,,,,,
T27,794.2,0.42,0.0551,-7.6,0.2107,3760.2,mtx,0.9,,,,,,,,,,
T27,794.7,0.49,0.0405,-6.42,0.1951,3760.7,mtx,1.4,,,,,,,,,,
T27,795.8,0.68,0.0487,-6.26,0.1648,3761.8,mtx,1.7,,,,,,,,,,
T27,800.2,0.48,0.0623,-0.23,0.2205,3766.2,mtx,2.5,,,,,,,,,,
T27,803.9,-0.06,0.0555,-2.2,0.1734,3769.9,mtx,0.01,,,,,,,,,,
T27,805.2,0.39,0.0403,-0.81,0.1872,3771.2,mtx,0.6,,,,,,,,,,
T27,826.9,0.15,0.047,-4.26,0.2283,3792.9,mtx,0.0,,,,,,,,,,
T27,828.3,1.53,0.0667,-2.8,0.2592,3794.3,mtx,0.1,,,,,,,,,,
T27,829.2,1.87,0.0617,-2.57,0.0986,3795.2,mtx,1.0,,,,,,,,,,
T27,831.6,1.87,0.072,-2.98,0.2047,3797.6,mtx,1.8,,,,,,,,,,
T27,860.7,5.48,0.0253,-6.86,0.1277,3826.7,mtx,0.0,,,,,,,,,,
T27,862.3,5.77,0.0343,-7.18,0.1933,3828.3,mtx,0.1,,,,,,,,,,
T27,863.7,6.03,0.0311,-6.18,0.1105,3829.7,mtx,1.5,,,,,,,,,,
T27,865.1,6.33,0.0378,-4.57,0.0752,3831.1,mtx,2.9,,,,,,,,,,
T27,866.6,6.76,0.0521,-4.73,0.2095,3832.6,mtx,4.4,,,,,,,,,,
T27,868.1,6.24,0.0957,-4.37,0.3687,3834.1,mtx,5.9,,,,,,,,,,
T27,870.1,5.75,0.1131,-5.18,0.2908,3836.1,mtx,7.9,,,,,,,,,,
T28,1.9,4.48,,-4.15,,3825.9,mtx,38.4,,,,,,,,,,
T28,1.9,5.74,,-4.65,,3825.9,mts,38.4,,0.7065,523000.0,1558.0,,20.0,,119.0,504.0,1894.0
T28,1.9,5.74,,-4.65,,3825.9,mts,38.4,,,,,,,,,,
T28,4.4,4.84,,-4.61,,3828.4,mts,35.9,,,,,,,,,,
T28,4.4,5.47,,-4.16,,3828.4,mtx,35.9,,,,,,,,,,
T28,4.4,4.84,,-4.61,,3828.4,mts,35.9,,,,,,,,,,
T28,6.6,6.71,,-4.75,,3830.6,mts,33.7,,,,,,,,,,
T28,6.6,4.98,,-4.27,,3830.6,mtx,33.7,,,,,,,,,,
T28,6.6,6.71,,-4.75,,3830.6,mts,33.7,,,,,,,,,,
T28,15.0,6.76,,-3.53,,3839.0,mts,25.3,,,,,,,,,,
T28,15.0,6.14,,-3.35,,3839.0,mtx,25.3,,,,,,,,,,
T28,15.0,6.76,,-3.53,,3839.0,mts,25.3,,,,,,,,,,
T28,19.0,6.59,,-3.76,,3843.0,mts,21.3,,,,,,,,,,
T28,19.0,6.45,,-3.99,,3843.0,mtx,21.3,,,,,,,,,,
T28,19.0,6.59,,-3.76,,3843.0,mts,21.3,,,,,,,,,,
T28,23.8,6.16,,-3.27,,3847.8,mtx,16.5,,,,,,,,,,
T28,23.8,7.4,,-4.03,,3847.8,mts,16.5,,0.70654,,,,,,,,
T28,23.8,7.4,,-4.03,,3847.8,mts,16.5,,,,,,,,,,
T28,24.7,6.79,,-3.63,,3848.7,mts,15.6,,,,,,,,,,
T28,24.7,6.09,,-3.49,,3848.7,mtx,15.6,,,,,,,,,,
T28,24.7,6.79,,-3.63,,3848.7,mts,15.6,,,,,,,,,,
T28,31.9,6.33,,-4.1,,3855.9,mts,8.4,,,,,,,,,,
T28,31.9,5.97,,-3.83,,3855.9,mtx,8.4,,,,,,,,,,
T28,31.9,6.33,,-4.1,,3855.9,mts,8.4,,,,,,,,,,
T28,38.0,4.97,,-3.51,,3862.0,mts,2.3,,,,,,,,,,
T28,38.0,5.28,,-3.83,,3862.0,mtx,2.3,,,,,,,,,,
T28,38.0,4.97,,-3.51,,3862.0,mts,2.3,,,,,,,,,,
T28,41.3,5.59,,-3.4,,3865.3,mtx,0.8,,,,,,,,,,
T28,41.3,3.53,,-3.67,,3865.3,mts,0.8,,0.70651,53400.0,150.0,,11.0,9.0,14.0,41.0,82.0
T28,41.3,3.53,,-3.67,,3865.3,mts,0.8,,,,,,,,,,
T28,51.7,5.64,,-3.54,,3875.7,mtx,0.6,,,,,,,,,,
T28,57.2,5.24,,-4.08,,3881.2,mtx,1.5,,,,,,,,,,
T28,61.4,5.64,,-3.74,,3885.4,mtx,0.2,,,,,,,,,,
T28,66.4,5.6,,-3.67,,3890.4,mtx,1.0,,0.70658,473000.0,2115.0,13.0,,122.0,78.0,329.0,2533.0
T28,74.9,6.43,,-4.32,,3898.9,mtx,0.01,,,,,,,,,,
T28,79.5,,,,,3903.5,mtx,0.7,,,,,,,,,,
T28,84.6,,,,,3908.6,mtx,1.1,,,,,,,,,,
T28,90.7,,,,,3914.7,mtx,0.01,,,,,,,,,,
T28,98.0,,,,,3922.0,mtx,3.8,,,,,,,,,,
T28,107.4,,,,,3931.4,mtx,3.8,,,,,,,,,,
T28,112.3,,,,,3936.3,mtx,8.7,,,,,,,,,,
T28,118.2,,,,,3942.2,mtx,14.6,,,,,,,,,,
T28,121.8,,,,,3945.8,mtx,18.2,,,,,,,,,,
T28,126.0,,,,,3950.0,mtx,22.4,,,,,,,,,,
T28,130.1,,,,,3954.1,mtx,26.5,,,,,,,,,,
T28,132.5,,,,,3956.5,mtx,28.9,,,,,,,,,,
T28,134.9,,,,,3958.9,mtx,31.3,,,,,,,,,,
T28,142.4,,,,,3966.4,mtx,38.8,,,,,,,,,,
T28,145.5,,,,,3969.5,mtx,41.9,,,,,,,,,,
T28,149.6,,,,,3973.6,mtx,46.0,,,,,,,,,,
T28,151.5,,,,,3975.5,mtx,47.9,,,,,,,,,,
T28,152.0,,,,,3976.0,mtx,48.4,,,,,,,,,,
T28,156.8,6.19,,-4.51,,3980.8,mtx,53.2,,0.70669,,,,,,,,
T28,156.8,4.27,,-4.26,,3980.8,mts,53.2,,,532000.0,1236.0,,,6.0,113.0,557.0,891.0
T28,156.8,4.27,,-4.26,,3980.8,mts,53.2,,,,,,,,,,
T28,158.5,6.46,,-4.47,,3982.5,mtx,54.9,,,,,,,,,,
T28,164.2,6.73,,-3.97,,3988.2,mtx,60.6,,,,,,,,,,
T28,167.5,6.48,,-4.96,,3991.5,mtx,63.9,,,,,,,,,,
T28,173.7,6.13,,-4.96,,3997.7,mtx,70.1,,,,,,,,,,
T28,173.7,4.41,,-5.22,,3997.7,mts,70.1,,0.70666,407000.0,1142.0,,55.0,,111.0,526.0,800.0
T28,173.7,4.41,,-5.22,,3997.7,mts,70.1,,,,,,,,,,
T28,174.7,5.98,,-4.73,,3998.7,mtx,71.1,,,,,,,,,,
T28,181.0,5.14,,-5.92,,4005.0,mtx,77.4,,,,,,,,,,
T28,186.8,3.74,,-8.29,,4010.8,mtx,83.2,,,,,,,,,,
T29,1.8,5.08,,-6.97,,3996.8,mtx,4.9,,,,,,,,,,
T29,3.6,4.79,,-7.81,,3998.6,mtx,3.1,,,,,,,,,,
T29,5.6,4.06,,-7.78,,4000.6,mtx,1.1,-1.36841,0.70664,325000.0,13808.0,29.0,24.0,129.0,371.0,582.0,501.0
T29,6.7,3.25,,-9.86,,4001.7,mtx,0.01,,,,,,,,,,
T29,8.3,3.01,,-9.97,,4003.3,mtx,0.01,,,,,,,,,,
T29,9.1,2.5,,-9.95,,4004.1,mtx,0.01,,,,,,,,,,
T29,12.0,2.31,,-10.11,,4007.0,mtx,0.1,,,,,,,,,,
T29,15.4,2.04,,-10.08,,4010.4,mtx,0.01,,,,,,,,,,
T29,16.7,1.67,,-10.24,,4011.7,mtx,0.01,,,,,,,,,,
T29,17.5,1.5,,-10.57,,4012.5,mtx,0.01,,,,,,,,,,
T29,19.9,1.16,,-9.88,,4014.9,mtx,0.01,,,,,,,,,,
T29,25.1,-0.03,,-8.79,,4020.1,mtx,0.01,,,,,,,,,,
T29,35.3,-0.31,,-10.54,,4030.3,mtx,0.1,-1.04783,0.7064,283000.0,4229.0,4.0,133.0,233.0,959.0,326.0,1564.0
T29,40.4,2.64,,-7.88,,4035.4,mtx,0.01,,,,,,,,,,
T29,49.0,5.49,,-10.41,,4044.0,mtx,0.01,,,,,,,,,,
T29,50.3,5.86,,-10.46,,4045.3,mtx,0.01,,,,,,,,,,
T29,53.6,4.37,,-10.04,,4048.6,mtx,0.1,,,,,,,,,,
T29,57.8,4.2,,-9.64,,4052.8,mtx,0.2,,,,,,,,,,
T29,66.5,1.76,,-8.62,,4061.5,mtx,0.1,-1.4499,,296000.0,1628.0,56.0,2.0,173.0,335.0,292.0,499.0
T29,66.5,2.99,,-9.61,,4061.5,mts,0.1,-1.43521,0.70632,368000.0,1020.0,,12.0,33.0,125.0,240.0,586.0
T29,68.2,2.81,,-10.04,,4063.2,mtx,0.5,-1.33174,0.70631,580000.0,2593.0,16.0,,149.0,96.0,404.0,3106.0
T29,68.2,3.16,,-9.75,,4063.2,mts,0.5,,,,,,,,,,
T29,68.5,1.46,,-9.89,,4063.5,mtx,0.8,,,,,,,,,,
T29,70.2,1.7,,-9.59,,4065.2,mtx,0.2,,,,,,,,,,
T29,112.4,5.58,,-8.58,,4107.4,mtx,0.1,,,,,,,,,,
T29,113.9,6.64,,-8.24,,4108.9,mtx,1.1,,,,,,,,,,
T29,114.8,6.55,,-7.29,,4109.8,mtx,2.0,,,,,,,,,,
T29,115.5,6.69,,-7.34,,4110.5,mtx,2.7,,,,,,,,,,
T29,116.7,5.56,,-7.9,,4111.7,mtx,1.7,,,,,,,,,,
T29,118.2,4.82,,-8.17,,4113.2,mtx,0.2,,,,,,,,,,
T29,122.4,2.53,,-7.75,,4117.4,mtx,0.6,,,,,,,,,,
T29,124.1,2.97,,-8.23,,4119.1,mtx,0.9,,,,,,,,,,
T29,125.7,3.09,,-8.17,,4120.7,mtx,0.1,,,,,,,,,,
T29,127.8,2.62,,-7.62,,4122.8,mtx,1.9,,,,,,,,,,
T29,129.4,2.37,,-8.16,,4124.4,mtx,1.3,,,,,,,,,,
T29,131.9,2.24,,-8.03,,4126.9,mtx,0.3,,,,,,,,,,
T29,133.0,2.54,,-8.25,,4128.0,mtx,0.2,,,,,,,,,,
T29,134.3,2.53,,-8.51,,4129.3,mtx,1.5,-1.38683,0.7065,306000.0,5536.0,17.0,19.0,315.0,552.0,452.0,1326.0
T29,135.4,1.75,,-8.59,,4130.4,mtx,2.6,,,,,,,,,,
T29,136.3,2.39,,-8.41,,4131.3,mtx,2.8,,,,,,,,,,
T29,137.6,2.0,,-8.49,,4132.6,mtx,1.5,,,,,,,,,,
T29,139.6,1.76,,-7.99,,4134.6,mtx,0.0,,,,,,,,,,
T29,140.9,1.45,,-8.19,,4135.9,mtx,0.5,,,,,,,,,,
T29,143.4,1.56,,-8.56,,4138.4,mtx,3.0,,,,,,,,,,
T29,145.2,2.71,,-8.63,,4140.2,mtx,1.9,,,,,,,,,,
T29,146.1,3.23,,-7.9,,4141.1,mtx,1.0,,,,,,,,,,
T29,152.4,1.97,,-8.83,,4147.4,mtx,0.1,,,,,,,,,,
T29,154.6,,,,,4149.6,mtx,2.3,,,,,,,,,,
T29,155.7,1.58,,-7.7,,4150.7,mtx,3.4,,,,,,,,,,
T29,159.3,2.95,,-9.64,,4154.3,mtx,7.0,,,,,,,,,,
T29,160.7,2.47,,-9.77,,4155.7,mtx,8.4,,,,,,,,,,
T29,162.7,2.29,,-9.37,,4157.7,mtx,10.3,,,,,,,,,,
T29,164.2,2.56,,-7.31,,4159.2,mtx,8.8,,,,,,,,,,
T29,166.3,1.72,,-9.06,,4161.3,mtx,6.7,,,,,,,,,,
T29,168.5,,,,,4163.5,mtx,4.5,,,,,,,,,,
T29,170.2,0.92,,-9.32,,4165.2,mtx,2.8,,0.70647,339000.0,2303.0,63.0,3.0,585.0,470.0,370.0,526.0
T29,209.0,-3.18,,-7.92,,4204.0,mtx,0.1,-1.2545,0.70617,345000.0,1663.0,13.0,0.0,453.0,1055.0,309.0,463.0
T29,216.6,-2.34,,-6.11,,4211.6,mtx,0.01,,0.70661,183000.0,82269.0,,21.0,1098.0,8164.0,341.0,464.0
T3,1.0,2.95,,-10.52,,651.0,mtx,0.5,,,,,,,,,,
T3,8.7,4.16,,-10.46,,658.7,mtx,0.1,,,,,,,,,,
T3,17.3,0.94,,-7.32,,667.3,mtx,0.01,,,,,,,,,,
T3,39.4,1.63,,-10.19,,689.4,mtx,0.1,,,,,,,,,,
T3,46.0,1.34,,-7.8,,696.0,mtx,0.01,,,,,,,,,,
T3,48.9,1.93,,-11.03,,698.9,mtx,0.01,,,,,,,,,,
T3,54.7,3.54,,-10.74,,704.7,mtx,0.1,,,,,,,,,,
T3,57.3,3.37,,-8.87,,707.3,mtx,0.1,,,,,,,,,,
T3,60.7,4.96,,-11.81,,710.7,mtx,0.01,,,,,,,,,,
T3,64.3,3.54,,-8.61,,714.3,mtx,0.01,,,,,,,,,,
T3,65.6,4.52,,-9.22,,715.6,mtx,0.1,,,,,,,,,,
T3,68.2,4.47,,-9.78,,718.2,mtx,0.4,,,,,,,,,,
T3,69.7,4.89,,-9.47,,719.7,mtx,0.01,,,,,,,,,,
T3,72.8,5.51,,-10.58,,722.8,mtx,0.9,,,,,,,,,,
T3,74.7,6.05,,-10.76,,724.7,mtx,0.1,,,,,,,,,,
T3,77.0,5.37,,-9.95,,727.0,mtx,0.9,,,,,,,,,,
T3,79.4,5.91,,-9.28,,729.4,mtx,0.1,,,,,,,,,,
T3,81.3,6.09,,-9.95,,731.3,mtx,1.5,,,,,,,,,,
T3,83.3,5.95,,-9.68,,733.3,mtx,3.5,,,,,,,,,,
T3,84.5,6.35,,-10.06,,734.5,mtx,3.1,,,,,,,,,,
T3,94.0,5.47,,-9.36,,744.0,mtx,1.0,,,,,,,,,,
T3,96.7,4.86,,-8.04,,746.7,mtx,0.1,,,,,,,,,,
T3,98.5,5.2,,-8.12,,748.5,mtx,0.6,,,,,,,,,,
T3,102.0,5.19,,-8.93,,752.0,mtx,0.7,,,,,,,,,,
T3,103.5,5.89,,-8.69,,753.5,mtx,0.01,,,,,,,,,,
T3,105.4,5.85,,-9.26,,755.4,mtx,0.7,,,,,,,,,,
T3,108.0,6.01,,-9.15,,758.0,mtx,2.5,,,,,,,,,,
T3,109.1,6.35,,-8.94,,759.1,mtx,1.4,,,,,,,,,,
T3,110.9,6.15,,-9.08,,760.9,mtx,0.3,,,,,,,,,,
T3,113.3,5.68,,-8.83,,763.3,mtx,1.5,,,,,,,,,,
T3,114.9,6.09,,-8.8,,764.9,mtx,0.8,,,,,,,,,,
T3,116.7,5.86,,-8.84,,766.7,mtx,0.7,,,,,,,,,,
T3,118.4,6.02,,-8.27,,768.4,mtx,0.2,,,,,,,,,,
T3,121.2,6.06,,-8.48,,771.2,mtx,0.4,,,,,,,,,,
T3,123.2,5.88,,-7.63,,773.2,mtx,0.3,,,,,,,,,,
T3,125.6,5.84,,-8.82,,775.6,mtx,0.8,,,,,,,,,,
T3,127.1,5.78,,-8.61,,777.1,mtx,0.1,,,,,,,,,,
T3,129.9,5.55,,-8.58,,779.9,mtx,1.9,,,,,,,,,,
T3,131.1,6.18,,-8.51,,781.1,mtx,0.7,,,,,,,,,,
T3,134.1,5.71,,-8.17,,784.1,mtx,0.5,,,,,,,,,,
T3,137.3,5.64,,-8.67,,787.3,mtx,0.7,,,,,,,,,,
T3,138.3,5.64,,-7.98,,788.3,mtx,0.2,,,,,,,,,,
T3,139.9,4.69,,-8.37,,789.9,mtx,0.01,,,,,,,,,,
T3,142.5,4.53,,-7.85,,792.5,mtx,1.4,,,,,,,,,,
T3,144.7,5.14,,-8.09,,794.7,mtx,0.1,,,,,,,,,,
T3,146.2,5.25,,-8.32,,796.2,mtx,0.1,,,,,,,,,,
T3,148.6,5.4,,-8.3,,798.6,mtx,0.0,,,,,,,,,,
T3,150.8,5.05,,-8.01,,800.8,mtx,0.1,,,,,,,,,,
T3,154.4,4.75,,-7.7,,804.4,mtx,0.3,,,,,,,,,,
T3,157.7,5.06,,-8.54,,807.7,mtx,0.01,,,,,,,,,,
T3,164.0,4.85,,-7.51,,814.0,mtx,0.2,,,,,,,,,,
T3,166.4,4.8,,-8.06,,816.4,mtx,1.0,,,,,,,,,,
T3,168.4,4.08,,-7.07,,818.4,mtx,1.2,,,,,,,,,,
T3,170.6,2.79,,-5.74,,820.6,mtx,0.0,,,,,,,,,,
T3,173.0,5.11,,-8.35,,823.0,mtx,0.6,,,,,,,,,,
T3,176.6,5.25,,-7.38,,826.6,mtx,0.9,,,,,,,,,,
T3,178.3,4.75,,-7.3,,828.3,mtx,0.01,,,,,,,,,,
T3,180.2,4.49,,-7.44,,830.2,mtx,0.01,,,,,,,,,,
T3,182.5,5.26,,-7.93,,832.5,mtx,0.1,,,,,,,,,,
T3,185.0,4.8,,-7.88,,835.0,mtx,0.01,,,,,,,,,,
T3,187.0,5.4,,-7.86,,837.0,mtx,1.0,,,,,,,,,,
T3,188.8,4.53,,-7.77,,838.8,mtx,0.01,,,,,,,,,,
T3,191.2,4.54,,-8.13,,841.2,mtx,0.5,,,,,,,,,,
T3,193.8,5.74,,-7.19,,843.8,mtx,0.9,,,,,,,,,,
T3,195.1,,,,,845.1,mtx,0.1,,,,,,,,,,
T3,198.2,4.85,,-7.74,,848.2,mtx,0.1,,,,,,,,,,
T3,199.6,5.18,,-8.38,,849.6,mtx,1.5,,,,,,,,,,
T3,201.5,5.9,,-7.86,,851.5,mtx,2.8,,,,,,,,,,
T3,203.5,5.57,,-8.69,,853.5,mtx,0.8,,,,,,,,,,
T3,207.3,5.4,,-7.94,,857.3,mtx,0.8,,,,,,,,,,
T3,209.9,3.46,,-6.73,,859.9,mtx,3.4,,,,,,,,,,
T3,212.4,5.37,,-8.22,,862.4,mtx,1.8,,,,,,,,,,
T3,214.6,4.99,,-7.76,,864.6,mtx,0.1,,,,,,,,,,
